timestamp,ES,GE,RZ1,RZ2
2022-07-25,0.45699999999999996,0.354,0.352,0.52
2022-07-26,2.11,3.7779999999999996,2.4859999999999998,2.882
2022-07-27,0.029,0.08299999999999999,0.037,0.032
2022-07-28,0.623,0.34,0.441,0.519
2022-07-29,4.724,3.966,3.5120000000000005,4.393
2022-07-30,0.197,0.137,0.27099999999999996,0.286
2022-07-31,1.8270000000000002,3.568,1.8940000000000001,1.853
2022-08-01,0.08,0.04,0.032,0.036
2022-08-02,0.254,0.256,0.325,0.308
2022-08-03,0.004,0.002,0.011,0.013
2022-08-04,5.827999999999999,6.563,6.429,6.521999999999999
2022-08-05,4.351,3.688,2.419,2.555
2022-08-06,0.0,0.0,0.0,0.0
2022-08-07,0.0,0.0,0.0,0.0
2022-08-08,0.0,0.0,0.0,0.0
2022-08-09,0.0,0.0,0.0,0.0
2022-08-10,0.004,0.003,0.006,0.008
2022-08-11,0.0,0.0,0.0,0.0
2022-08-12,0.0,0.0,0.0,0.0
2022-08-13,0.0,0.0,0.0,0.0
2022-08-14,0.089,0.069,0.078,0.078
2022-08-15,0.33699999999999997,0.6819999999999999,0.301,0.134
2022-08-16,1.09,0.9010000000000001,1.1340000000000001,1.3379999999999999
2022-08-17,4.062,5.531,7.54,6.1930000000000005
2022-08-18,0.05,0.048,0.078,0.136
2022-08-19,7.720000000000001,6.255,6.8740000000000006,2.864
2022-08-20,0.21400000000000002,0.018,0.055,0.07400000000000001
2022-08-21,0.666,0.625,0.691,0.729
2022-08-22,0.24,0.164,0.19,0.186
2022-08-23,0.005,0.006,0.009000000000000001,0.024999999999999998
2022-08-24,0.024,0.011,0.017,0.048
2022-08-25,0.002,0.0,0.004,0.024
2022-08-26,2.8240000000000003,1.198,1.1099999999999999,1.487
2022-08-27,0.0,0.0,0.0,0.0
2022-08-28,0.0,0.0,0.0,0.001
2022-08-29,0.6599999999999999,0.91,1.0350000000000001,0.783
2022-08-30,0.206,0.181,0.217,0.217
2022-08-31,1.6700000000000002,0.076,0.1,0.08499999999999999
2022-09-01,0.0,0.0,0.0,0.0
2022-09-02,0.0,0.0,0.0,0.0
2022-09-03,0.139,0.027,0.046,0.063
2022-09-04,0.001,0.004,0.0,0.0
2022-09-05,0.708,0.905,0.877,1.383
2022-09-06,5.851,3.598,5.619,8.31
2022-09-07,0.739,0.469,0.175,0.159
2022-09-08,15.934000000000001,15.758,12.455,15.18
2022-09-09,8.564,6.4,5.494,3.6
2022-09-10,11.959,17.217,8.435,11.654
2022-09-11,0.0,0.0,0.0,0.0
2022-09-12,0.029,0.08299999999999999,0.03,0.028
2022-09-13,4.496,3.3339999999999996,4.962,6.3
2022-09-14,18.977,14.39,18.034,20.281
2022-09-15,0.927,0.9600000000000001,2.141,1.403
2022-09-16,6.9990000000000006,5.587999999999999,8.145,8.301
2022-09-17,5.478,1.348,6.528,8.394
2022-09-18,17.398,18.28,18.3,15.654
2022-09-19,0.001,0.465,0.0,0.0
2022-09-20,0.0,0.0,0.0,0.0
2022-09-21,0.0,0.0,0.0,0.0
2022-09-22,0.014,0.041,0.027999999999999997,0.027
2022-09-23,2.713,2.883,2.808,2.481
2022-09-24,3.465,3.5620000000000003,3.429,3.132
2022-09-25,0.197,0.243,0.252,0.219
2022-09-26,8.69,10.443999999999999,8.282,9.949
2022-09-27,14.877,16.425,18.441,15.6
2022-09-28,2.212,1.2369999999999999,3.758,2.007
2022-09-29,0.033,0.002,0.026,0.003
2022-09-30,1.3319999999999999,1.3479999999999999,1.541,1.5670000000000002
2022-10-01,11.877,6.919,9.074,10.673
2022-10-02,3.784,5.777,5.004,2.455
2022-10-03,0.125,0.134,0.133,0.171
2022-10-04,0.8899999999999999,0.6359999999999999,0.616,0.852
2022-10-05,1.292,1.267,1.5050000000000001,1.683
2022-10-06,0.0,0.0,0.0,0.0
2022-10-07,0.0,0.0,0.0,0.0
2022-10-08,0.605,0.81,1.52,0.253
2022-10-09,0.0,0.0,0.0,0.0
2022-10-10,0.32,0.513,0.36,0.413
2022-10-11,0.151,0.192,0.189,0.20099999999999998
2022-10-12,0.522,0.528,0.527,0.644
2022-10-13,1.501,1.611,1.377,1.424
2022-10-14,1.943,1.9969999999999999,1.847,1.913
2022-10-15,0.384,0.32,0.283,0.285
2022-10-16,1.6099999999999999,1.151,1.829,1.7
2022-10-17,2.962,3.4610000000000003,4.481,5.043
2022-10-18,0.58,0.453,0.465,0.495
2022-10-19,0.036000000000000004,0.036,0.059,0.059
2022-10-20,4.09,4.8469999999999995,3.995,5.022
2022-10-21,1.5150000000000001,0.945,1.958,3.1859999999999995
2022-10-22,0.01,0.024,0.01,0.0
2022-10-23,2.6559999999999997,5.701999999999999,5.099,4.231999999999999
2022-10-24,5.102,5.241,6.384,4.984
2022-10-25,0.106,0.128,0.107,0.101
2022-10-26,0.107,0.102,0.09699999999999999,0.115
2022-10-27,0.167,0.178,0.189,0.208
2022-10-28,0.051000000000000004,0.07,0.077,0.077
2022-10-29,0.221,0.289,0.269,0.261
2022-10-30,0.126,0.146,0.145,0.134
2022-10-31,0.715,0.516,1.024,1.1840000000000002
2022-11-01,0.271,0.29,0.248,0.222
2022-11-02,0.034,0.020999999999999998,0.041,0.028999999999999998
2022-11-03,4.1419999999999995,6.194,4.773,5.208
2022-11-04,1.617,0.671,2.338,1.1360000000000001
2022-11-05,0.87,0.955,0.747,0.873
2022-11-06,3.5050000000000003,3.466,3.8729999999999998,4.258
2022-11-07,0.169,0.28099999999999997,0.324,0.17099999999999999
2022-11-08,0.107,0.069,0.061,0.067
