#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	H2O_sew2
#d	g/d	g/d	g/d	g/d	g/d	g/d	g/d
181.11458333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.11805555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.12152777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.125	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.12847222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.13194444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.13541666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.13888888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.14236111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.14583333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.14930555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.15277777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.15625	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.15972222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.16319444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.16666666666666	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.17013888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.17361111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.17708333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.18055555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.18402777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.1875	-57283198928.83301	-2484827.087757923	-400960.7346154832	-8922788.178767093	-14050239.369098302	-21161253.764478687	57283200000.00001
181.19097222222223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.19444444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.19791666666666	-57283198928.83301	-2481187.196387858	-400373.3885080408	-8909717.659756405	-13954661.33941472	-20969674.855225712	57283200000.00001
181.20138888888889	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.20486111111111	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.20833333333334	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.21180555555554	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.21527777777777	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.21875	-57283198928.83301	-2465415.2047204995	-397828.3625798989	-8853081.871496344	-13699550.967161126	-20476025.210253894	57283200000.00001
181.22222222222223	-57283198928.83301	-2461948.824065496	-397269.014792387	-8840634.413689742	-13649064.706804184	-20379340.639489904	57283200000.00001
181.22569444444446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
181.22916666666666	-57283198928.83301	-2455479.4003543323	-396225.0850571766	-8817403.301272385	-13554840.48784261	-20198894.94790047	57283200000.00001
181.23263888888889	-57283198928.83301	-2452456.2732470427	-395737.2622739549	-8806547.526659843	-13510810.014152285	-20114573.641089723	57283200000.00001
