#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	H2O_sew2
#d	g/d	g/d	g/d	g/d	g/d	g/d	g/d
181.11111111111111	-104371195220.94727	-4391102.648549002	-708564.2910158613	-20558344.21820668	-20592510.88853198	-37567314.5952358	104371200000.0
181.11458333333334	-104371195220.94727	-4384996.677872821	-707579.0093840233	-20529757.17367729	-20571750.74794789	-37537302.81929876	104371200000.0
181.11805555555554	-104371195220.94727	-4379465.764752306	-706686.5211304853	-20503862.444067605	-20552945.78801118	-37510117.53884079	104371200000.0
181.12152777777777	-104371195220.94727	-4374461.192738594	-705878.9651919092	-20480431.94782159	-20535930.374070007	-37485519.305095226	104371200000.0
181.125	-104371195220.94727	-4377145.491501095	-706312.113401313	-20492999.346573304	-20470610.89230131	-37288577.21149886	104371200000.0
181.12847222222223	-104371195220.94727	-4379574.377409896	-706704.0472638696	-20504370.948782694	-20411506.603667516	-37110374.29211132	104371200000.0
181.13194444444446	-104371195220.94727	-4381760.76580877	-707056.8508464153	-20514607.22174106	-20358303.22736877	-36949962.97176784	104371200000.0
181.13541666666666	-104371195220.94727	-4383724.255321265	-707373.6866541133	-20523799.922640476	-20310523.85228351	-36805905.335282944	104371200000.0
181.13888888888889	-104371195220.94727	-4385489.799474193	-707658.5812787904	-20532065.87935645	-20267561.26156148	-36676370.588006735	104371200000.0
181.14236111111111	-104371195220.94727	-4387082.464993621	-707915.5795785163	-20539522.44974286	-20228805.483772054	-36559519.63006694	104371200000.0
181.14583333333334	-104371195220.94727	-4388526.239438829	-708148.552273084	-20546281.93919088	-20193672.80783101	-36453592.53808582	104371200000.0
181.14930555555554	-104371195220.94727	-4389839.340641302	-708360.4390580285	-20552429.640275188	-20161719.92268516	-36357252.70306766	104371200000.0
181.15277777777777	-104371195220.94727	-4391037.750516886	-708553.8188334069	-20558040.377419967	-20132557.925848898	-36269327.56105994	104371200000.0
181.15625	-104371195220.94727	-4392137.004739216	-708731.1984920099	-20563186.885824505	-20105808.77365405	-36188677.2880857	104371200000.0
181.15972222222223	-104371195220.94727	-4393150.136450182	-708894.6811090067	-20567930.184289485	-20081155.318812046	-36114345.66634747	104371200000.0
181.16319444444446	-104371195220.94727	-4394088.817344813	-709046.1500715493	-20572324.91756889	-20058313.54335845	-36045476.3649158	104371200000.0
181.16666666666666	-104371195220.94727	-4394964.027039961	-709187.3770905393	-20602287.163813	-20030550.10190095	-35925705.00384078	104371200000.0
181.17013888888889	-104371195220.94727	-4395784.906842109	-709319.8372404313	-20630389.46078834	-20004510.115761746	-35813368.62122618	104371200000.0
181.17361111111111	-104371195220.94727	-4396558.932979264	-709444.7369125634	-20656887.75239711	-19979956.4236984	-35707444.10454314	104371200000.0
181.17708333333334	-104371195220.94727	-4397292.796597642	-709563.15581462	-20682011.105766404	-19956676.768868715	-35607015.7787329	104371200000.0
181.18055555555554	-104371195220.94727	-4397992.215048808	-709676.0165192399	-20705955.250784066	-19934489.78518826	-35511301.2313262	104371200000.0
181.18402777777777	-104371195220.94727	-4398661.891804436	-709784.0779957165	-20728881.207805965	-19913246.268916182	-35419656.79805878	104371200000.0
181.1875	-74030925750.73242	-3120446.110136464	-503526.5314083842	-14718728.075269688	-14110049.1455641	-25060761.530337676	74030923425.13962
181.19097222222223	-101594895172.11914	-4282866.8115476	-691098.962772454	-20218928.71358629	-19345148.35343564	-34311826.19460537	101594897757.21349
181.19444444444446	-73896571540.83252	-3115618.0834145285	-502747.463460072	-14720602.747413978	-14057953.24960346	-24901008.67767497	73896570550.33606
181.19791666666666	-73987430191.04004	-3119833.785458328	-503427.72447168495	-14751876.534060689	-14063031.687547406	-24878965.865462784	73987432108.47644
181.20138888888889	-72585524940.49072	-3061074.1078150887	-493946.0492156167	-14484503.34231382	-13785312.964473814	-24359014.2702978	72585522695.7399
181.20486111111111	-70343968963.62305	-2966867.0544255143	-478744.4565095718	-14048280.03396073	-13349333.589866249	-23562476.143848408	70343968989.01567
181.20833333333334	-67983575248.71826	-2871697.5860835747	-463387.5650271223	-13615697.190246783	-12896692.363354873	-22707428.21234219	67983573702.726456
181.21180555555554	-65675745964.05029	-2778204.3500250867	-448301.1564813209	-13188824.811826332	-12454606.788296849	-21877932.76546398	65675743611.38555
181.21527777777777	-63457539367.67578	-2687995.5364634832	-433744.7342929712	-12775463.50201092	-12030061.49657438	-21085740.823246285	63457539100.72267
181.21875	-61335557556.15234	-2601400.493185297	-419771.4432185366	-12377383.35430562	-11624253.3321704	-20332310.23271891	61335556122.52495
181.22222222222223	-59305407714.84375	-2518307.510208348	-406363.2573290743	-11994356.992660971	-11236271.501144445	-19615095.96995517	59305409395.42056
181.22569444444446	-57365699386.59668	-2438682.9773829626	-393514.7531686144	-11626330.296499332	-10865822.632936858	-18933253.759001102	57365697231.055565
181.22916666666666	-55510299110.4126	-2362321.988249121	-381192.86628565367	-11272552.155074686	-10511688.179763466	-18283951.63626011	55510299435.17506
181.23263888888889	-53734402084.350586	-2289067.3967033834	-369372.2390135005	-10932467.31106854	-10172905.491179012	-17664903.480623364	53734402657.69187
181.23611111111111	-52034346771.240234	-2218781.07817914	-358030.5830698159	-10605488.341305025	-9848762.93651576	-17074646.185375888	52034348439.83803
181.23958333333334	-50406940269.470215	-2151345.507977732	-347148.9342418614	-10291130.248905247	-9538634.962499795	-16511853.392543536	50406938613.20531
181.24305555555554	-48848376846.31348	-2086628.0760634013	-336705.89409204887	-9988878.69067178	-9241771.183343478	-15974847.59517984	48848374996.63436
181.24652777777777	-46643611335.754395	-1994075.7524391387	-321771.31459813373	-9552437.667252736	-8822899.367081093	-15229917.453445025	46643611639.81769
181.25	-45434892082.214355	-1949202.9707104927	-314530.4793646477	-9276555.498912953	-8588521.055780713	-14835867.27002092	45434890248.42149
181.25347222222223	-44292440986.6333	-1906400.908910205	-307623.7830286922	-9017423.5564339	-8367322.66711198	-14463387.503494402	44292443118.833145
181.25694444444446	-42415735816.95557	-1831193.86107704	-295488.1003101587	-8612144.12201119	-8008090.951907286	-13851067.058895864	42415734627.05741
