;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part;FD
182,63541666666666;-55096380615,234375;-2338369,200891859;-377327,7574166407;-10942780,823563496;-11900561,950459369;-21824093,598630488;0,3360115053177066
182,63888888888889;-55303538131,71387;-2349045,1463617715;-379050,46679928567;-11000324,842297733;-11961279,62102935;-21926483,846943144;0,3369073843364142
182,64236111111111;-55512997627,2583;-2359781,2040507025;-380782,8761081814;-11057999,546893302;-12022176,413657028;-22029380,48680345;0,3377653250061327
182,64583333333334;-55723461341,85791;-2370522,62528422;-382516,1508981352;-11115549,096005885;-12082974,004733283;-22132272,678688485;0,3385650272628607
182,64930555555554;-55924748039,245605;-2380835,8928308114;-384180,3372522444;-11170938,457457673;-12141460,795045163;-22231112,09717733;0,3392655506772387
182,65277777777777;-56107701301,57471;-2390329,355655207;-385712,2369352718;-11222324,630422898;-12195634,979652788;-22322239,74520881;0,3398536521471252
182,65625;-56274669456,48193;-2399102,1945094746;-387127,8541140287;-11270168,65002886;-12245998,707223931;-22406580,15711349;0,3403708915535592
182,65972222222223;-56436539268,49365;-2407618,690749736;-388502,1069164345;-11316651,86530677;-12294922,122877665;-22488469,6340028;0,3408866180778511
182,66319444444446;-56598800468,444824;-2416114,677670817;-389873,0502605181;-11362889,282019824;-12343615,028042063;-22570113,347591978;0,3414296402109071
182,66666666666666;-56753548049,92676;-2423225,362476801;-391020,4562178475;-11400082,99825779;-12382042,608805768;-22629970,47477918;0,3419509997488805
182,67013888888889;-57462969589,2334;-2454012,825446096;-395988,4331969836;-11548618,10094282;-12541426,42452538;-22911020,707413174;0,3423717765593273
182,67361111111111;-58181254005,43213;-2485177,9698671503;-401017,3542285628;-11698922,966263153;-12702736,151469504;-23195610,350057088;0,3426206990769864
182,67708333333334;-58908519744,87305;-2516725,7401667186;-406108,017163266;-11851022,427854108;-12865997,934409518;-23483782,825483646;0,3427472333467211
