#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD
#d	g/d	g/d	g/d	g/d	g/d	g/d	
197.96875	-57283198928.83301	-2245391.46086798	-362324.531185515	-8062996.609480456	-27982146.72173877	-37793265.4090907	0.0585361498074301
197.97222222222223	-57283198928.83301	-2246450.096774301	-362495.3565249441	-8066798.074780429	-27928933.703170806	-37736072.5918074	0.0577440725598365
197.97569444444446	-57283198928.83301	-2247513.3474624674	-362666.9265223527	-8070616.111342479	-27875488.71960853	-37678630.46088073	0.0569519953122429
197.97916666666666	-57283198928.83301	-2248581.275681514	-362839.2513031533	-8074450.944492689	-27821808.61693109	-37620935.62629325	0.0561599180646493
197.98263888888889	-57283198928.83301	-2249653.945624152	-363012.3412257154	-8078302.804741254	-27767890.168450262	-37562984.62003295	0.0553678408170558
197.98611111111111	-57283198928.83301	-2250731.422973827	-363186.2068889584	-8082171.927951448	-27713730.07254531	-37504773.89355103	0.0545757635694622
197.98958333333334	-57283198928.83301	-2251813.7749537574	-363360.8591402654	-8086058.555515746	-27659324.950197555	-37446299.81511221	0.0537836863218686
197.99305555555554	-57283198928.83301	-2252901.0703780884	-363536.30908373697	-8089962.934539478	-27604671.34241956	-37387558.66703157	0.052991609074275
197.99652777777777	-57283198928.83301	-2253993.379705239	-363712.5680887999	-8093885.318032428	-27549765.707573287	-37328546.64279214	0.0521995318266814
198.0	-57283198928.83301	-2255346.8118469627	-363930.9628207599	-8098745.369814072	-27485512.204317853	-37255014.89012165	0.0514074545790878
198.00347222222223	-57283198928.83301	-2256706.607856881	-364150.38444963313	-8103628.27366787	-27420956.57965333	-37181137.38950585	0.0506153773314942
198.00694444444446	-57283198928.83301	-2258072.861140287	-364370.84804763726	-8108534.365003736	-27356094.399210915	-37106909.06625007	0.0498233000839006
198.01041666666666	-57283198928.83301	-2259445.667423868	-364592.3690615788	-8113463.987567505	-27290921.11841472	-37032324.7195386	0.0490312228363071
198.01388888888889	-57283198928.83301	-2260825.1248375005	-364814.9633260514	-8118417.493734642	-27225432.078598715	-36957379.01799087	0.0482391455887135
198.01736111111111	-57283198928.83301	-2262211.333999793	-365038.64707723947	-8123395.244817418	-27159622.50294566	-36882066.49501398	0.0474470683411199
198.02083333333334	-57283198928.83301	-2263604.398107584	-365263.4369673604	-8128397.611386305	-27093487.492238	-36806381.54394005	0.0466549910935263
198.02430555555554	-57283198928.83301	-2265004.423029638	-365489.3500797827	-8133424.973606406	-27027022.020409983	-36730318.41293604	0.0458629138459327
198.02777777777777	-57283198928.83301	-2266411.5174047607	-365716.4039448594	-8138477.721589802	-26960220.929889463	-36653871.19967286	0.0450708365983391
198.03125	-57283198928.83301	-2267825.7927446114	-365944.6165565172	-8143556.255764721	-26893078.926717117	-36577033.84573991	0.0442787593507455
198.03472222222223	-57283198928.83301	-2269247.363541473	-366174.0063896472	-8148660.987262543	-26825590.575429942	-36499800.13078962	0.043486682103152
198.03819444444446	-57283198928.83301	-2270676.3473812924	-366404.5924183454	-8153792.338323714	-26757750.2936949	-36422163.66639628	0.0426946048555584
198.04166666666666	-57283198928.83301	-2271967.912625683	-366613.0040827811	-8158430.231701298	-26687872.216162365	-36341040.94470715	0.0419025276079648
198.04513888888889	-57283198928.83301	-2273266.3631149004	-366822.5267753593	-8163092.849367124	-26617621.623440284	-36259485.76340959	0.0411104503603712
