ES_threshold,RZ_threshold,certainty_threshold,ES_flow,ES_FD,ES_flow_sum,ES_FD_sum,ES_flow_always,ES_flow_always_sum,ES_cso,RZ_flow,RZ_FD,RZ_flow_sum,RZ_FD_sum,RZ_cso,RZ_flow_always,RZ_flow_always_sum
,0.5,0.85,,,,,,,,0.03,0.597,213.704,3.585,309.548,1.505,13002.04
,0.5,0.875,,,,,,,,0.031,0.598,224.869,3.585,309.545,1.506,13007.851
,0.5,0.9,,,,,,,,0.034,0.608,239.955,3.65,309.552,1.516,13092.922
,0.5,0.925,,,,,,,,0.033,0.613,237.894,4.289,309.557,1.517,13104.512
,1.0,0.725,,,,,,,,0.033,0.972,237.975,5.83,309.55,1.501,12969.358
,1.0,0.75,,,,,,,,0.031,0.944,225.061,5.662,309.548,1.506,13006.556
,1.0,0.775,,,,,,,,0.027,0.593,190.309,3.556,309.552,1.504,12995.09
,1.0,0.8,,,,,,,,0.027,0.593,190.296,3.556,309.55,1.504,12996.164
,1.0,0.825,,,,,,,,0.027,0.593,190.267,3.558,309.551,1.505,13000.019
,1.0,0.85,,,,,,,,0.026,0.602,189.783,3.611,309.536,1.505,13001.721
,1.0,0.875,,,,,,,,0.028,0.601,198.231,3.608,309.552,1.506,13009.771
,1.0,0.9,,,,,,,,0.028,0.602,200.223,3.609,309.552,1.506,13012.625
,1.0,0.925,,,,,,,,0.032,0.598,227.37,3.585,309.545,1.506,13010.352
,1.5,0.725,,,,,,,,0.048,1.13,353.779,7.912,309.56,1.467,12675.748
,1.5,0.75,,,,,,,,0.034,1.072,245.55,7.504,309.55,1.496,12925.611
,1.5,0.775,,,,,,,,0.032,0.974,232.108,5.843,309.558,1.501,12965.486
,1.5,0.8,,,,,,,,0.03,0.944,218.888,5.662,309.549,1.505,12999.726
,1.5,0.825,,,,,,,,0.027,0.593,190.058,3.556,309.546,1.504,12992.236
,1.5,0.85,,,,,,,,0.027,0.593,190.236,3.556,309.551,1.505,12999.788
,1.5,0.875,,,,,,,,0.027,0.593,190.18,3.557,309.545,1.504,12995.636
,1.5,0.9,,,,,,,,0.028,0.602,198.441,3.609,309.546,1.506,13010.827
,1.5,0.925,,,,,,,,0.028,0.601,201.089,3.608,309.547,1.505,13005.042
,2.0,0.725,,,,,,,,0.075,1.022,553.625,6.133,309.517,1.424,12305.205
,2.0,0.75,,,,,,,,0.066,1.34,484.407,10.72,309.533,1.445,12483.85
,2.0,0.775,,,,,,,,0.049,1.386,363.177,9.704,309.541,1.476,12747.136
,2.0,0.8,,,,,,,,0.031,0.892,226.901,6.247,309.557,1.501,12966.169
,2.0,0.825,,,,,,,,0.03,0.944,215.051,5.664,309.558,1.505,13000.167
,2.0,0.85,,,,,,,,0.031,0.946,224.636,5.673,309.553,1.506,13009.813
,2.0,0.875,,,,,,,,0.027,0.593,190.296,3.556,309.55,1.504,12996.164
,2.0,0.9,,,,,,,,0.027,0.593,189.916,3.557,309.557,1.504,12994.152
,2.0,0.925,,,,,,,,0.028,0.602,198.686,3.61,309.55,1.506,13009.598
,2.5,0.725,,,,,,,,0.075,1.018,552.859,6.11,309.56,1.423,12296.802
,2.5,0.75,,,,,,,,0.075,1.018,553.854,6.108,309.56,1.424,12297.891
,2.5,0.775,,,,,,,,0.065,1.383,480.369,11.062,309.512,1.45,12522.761
,2.5,0.8,,,,,,,,0.052,1.443,382.91,10.099,309.544,1.475,12740.75
,2.5,0.825,,,,,,,,0.032,0.939,232.967,7.513,309.541,1.502,12973.919
,2.5,0.85,,,,,,,,0.033,0.974,238.68,5.846,309.545,1.502,12977.286
,2.5,0.875,,,,,,,,0.031,0.946,222.165,5.673,309.55,1.505,13005.225
,2.5,0.9,,,,,,,,0.027,0.593,190.215,3.558,309.558,1.504,12992.71
,2.5,0.925,,,,,,,,0.026,0.593,189.729,3.557,309.548,1.505,12999.427
