;scenario;group;pollutant;metric;value
102;Constant dry weather flow only;pollutants_effluent;.effluent.y_NH;avg_daily_load;1647.2663009666016
103;Constant dry weather flow only;pollutants_effluent;.effluent.y_NH;avg_max_daily_load;2017.4699817832545
104;Constant dry weather flow only;pollutants_effluent;.effluent.y_NH;avg_concentration;1.3989929129665046
105;Constant dry weather flow only;pollutants_effluent;.effluent.y_NH;avg_max_daily_concentration;1.433197568478261
106;Constant dry weather flow only;pollutants_effluent;.effluent.y_NO;avg_daily_load;3237.517333775027
107;Constant dry weather flow only;pollutants_effluent;.effluent.y_NO;avg_max_daily_load;4393.966040811808
108;Constant dry weather flow only;pollutants_effluent;.effluent.y_NO;avg_concentration;2.7449668448445435
109;Constant dry weather flow only;pollutants_effluent;.effluent.y_NO;avg_max_daily_concentration;2.877991655434782
110;Constant dry weather flow only;pollutants_effluent;.effluent.y_PO;avg_daily_load;231.3554633146832
111;Constant dry weather flow only;pollutants_effluent;.effluent.y_PO;avg_max_daily_load;362.6627019295394
112;Constant dry weather flow only;pollutants_effluent;.effluent.y_PO;avg_concentration;0.19598018096716024
113;Constant dry weather flow only;pollutants_effluent;.effluent.y_PO;avg_max_daily_concentration;0.22331406793478265
114;Constant dry weather flow only;pollutants_effluent;.effluent.y_TKN;avg_daily_load;3058.190717510992
115;Constant dry weather flow only;pollutants_effluent;.effluent.y_TKN;avg_max_daily_load;3711.4170403828884
116;Constant dry weather flow only;pollutants_effluent;.effluent.y_TKN;avg_concentration;2.5974371632970876
117;Constant dry weather flow only;pollutants_effluent;.effluent.y_TKN;avg_max_daily_concentration;2.6316394385869564
118;Constant dry weather flow only;pollutants_effluent;.effluent.y_TN;avg_daily_load;6295.7080516804535
119;Constant dry weather flow only;pollutants_effluent;.effluent.y_TN;avg_max_daily_load;8094.580183478778
120;Constant dry weather flow only;pollutants_effluent;.effluent.y_TN;avg_concentration;5.34240400848041
121;Constant dry weather flow only;pollutants_effluent;.effluent.y_TN;avg_max_daily_concentration;5.492411348369565
122;Constant dry weather flow only;pollutants_effluent;.effluent.y_TP;avg_daily_load;480.0119655615486
123;Constant dry weather flow only;pollutants_effluent;.effluent.y_TP;avg_max_daily_load;652.1347562817255
124;Constant dry weather flow only;pollutants_effluent;.effluent.y_TP;avg_concentration;0.4072552014387192
125;Constant dry weather flow only;pollutants_effluent;.effluent.y_TP;avg_max_daily_concentration;0.4360807850000001
126;Constant dry weather flow only;pollutants_effluent;.effluent.y_TSS;avg_daily_load;4903.31534700679
127;Constant dry weather flow only;pollutants_effluent;.effluent.y_TSS;avg_max_daily_load;5779.111662652121
128;Constant dry weather flow only;pollutants_effluent;.effluent.y_TSS;avg_concentration;4.166363093055025
129;Constant dry weather flow only;pollutants_effluent;.effluent.y_TSS;avg_max_daily_concentration;4.256226383152173
130;Dry and wet weather flow;FD;;;
131;Dry and wet weather flow;DWF_var;;;
132;Dry and wet weather flow;CSO;;;144.0053352434188
133;Dry and wet weather flow;5_perc_steps;;;15.11437535653166
134;Dry and wet weather flow;15_perc_steps;;;5.057840985014794
135;Dry and wet weather flow;pollutants;NH4_sew;avg_daily_load;32080.75569647644
136;Dry and wet weather flow;pollutants;NH4_sew;avg_max_daily_load;49563.39273477533
137;Dry and wet weather flow;pollutants;NH4_sew;avg_concentration;41.004729217573185
138;Dry and wet weather flow;pollutants;NH4_sew;avg_max_daily_concentration;47.64957310958946
139;Dry and wet weather flow;pollutants;PO4_sew;avg_daily_load;5176.66739647688
140;Dry and wet weather flow;pollutants;PO4_sew;avg_max_daily_load;7997.72928220238
141;Dry and wet weather flow;pollutants;PO4_sew;avg_concentration;6.616672214653854
142;Dry and wet weather flow;pollutants;PO4_sew;avg_max_daily_concentration;7.688908388138299
143;Dry and wet weather flow;pollutants;COD_sol;avg_daily_load;115199.07727371083
144;Dry and wet weather flow;pollutants;COD_sol;avg_max_daily_load;177977.6375476023
145;Dry and wet weather flow;pollutants;COD_sol;avg_concentration;147.24425491764916
146;Dry and wet weather flow;pollutants;COD_sol;avg_max_daily_concentration;171.10528525716217
147;Dry and wet weather flow;pollutants;X_TSS_sew;avg_daily_load;211855.30969877628
148;Dry and wet weather flow;pollutants;X_TSS_sew;avg_max_daily_load;403429.6273367905
149;Dry and wet weather flow;pollutants;X_TSS_sew;avg_concentration;258.3457642406252
150;Dry and wet weather flow;pollutants;X_TSS_sew;avg_max_daily_concentration;363.418897202666
151;Dry and wet weather flow;pollutants;COD_part;avg_daily_load;316217.5738825247
152;Dry and wet weather flow;pollutants;COD_part;avg_max_daily_load;614513.8388272108
153;Dry and wet weather flow;pollutants;COD_part;avg_concentration;386.1143795526345
154;Dry and wet weather flow;pollutants;COD_part;avg_max_daily_concentration;546.4032095702718
155;Dry and wet weather flow;pollutants_effluent;.effluent.y_BOD;avg_daily_load;4282.227324961054
156;Dry and wet weather flow;pollutants_effluent;.effluent.y_BOD;avg_max_daily_load;9311.17068056906
157;Dry and wet weather flow;pollutants_effluent;.effluent.y_BOD;avg_concentration;1.6513017487793016
158;Dry and wet weather flow;pollutants_effluent;.effluent.y_BOD;avg_max_daily_concentration;2.3252185538043477
159;Dry and wet weather flow;pollutants_effluent;.effluent.y_COD;avg_daily_load;52759.44788159042
160;Dry and wet weather flow;pollutants_effluent;.effluent.y_COD;avg_max_daily_load;92780.03662633053
161;Dry and wet weather flow;pollutants_effluent;.effluent.y_COD;avg_concentration;30.8946886258128
162;Dry and wet weather flow;pollutants_effluent;.effluent.y_COD;avg_max_daily_concentration;33.80301378804348
163;Dry and wet weather flow;pollutants_effluent;.effluent.y_DO;avg_daily_load;6611.64282914174
164;Dry and wet weather flow;pollutants_effluent;.effluent.y_DO;avg_max_daily_load;9133.38968893493
165;Dry and wet weather flow;pollutants_effluent;.effluent.y_DO;avg_concentration;4.50681600150265
166;Dry and wet weather flow;pollutants_effluent;.effluent.y_DO;avg_max_daily_concentration;5.711333763586957
167;Dry and wet weather flow;pollutants_effluent;.effluent.y_NH;avg_daily_load;4203.235446553897
168;Dry and wet weather flow;pollutants_effluent;.effluent.y_NH;avg_max_daily_load;10997.029662389963
169;Dry and wet weather flow;pollutants_effluent;.effluent.y_NH;avg_concentration;1.736585090895951
170;Dry and wet weather flow;pollutants_effluent;.effluent.y_NH;avg_max_daily_concentration;3.0386883320652176
171;Dry and wet weather flow;pollutants_effluent;.effluent.y_NO;avg_daily_load;5378.323778657917
172;Dry and wet weather flow;pollutants_effluent;.effluent.y_NO;avg_max_daily_load;9732.992018561596
173;Dry and wet weather flow;pollutants_effluent;.effluent.y_NO;avg_concentration;3.1402463747696845
174;Dry and wet weather flow;pollutants_effluent;.effluent.y_NO;avg_max_daily_concentration;3.8754882163043476
175;Dry and wet weather flow;pollutants_effluent;.effluent.y_PO;avg_daily_load;618.8549301576336
176;Dry and wet weather flow;pollutants_effluent;.effluent.y_PO;avg_max_daily_load;1235.3309811367617
177;Dry and wet weather flow;pollutants_effluent;.effluent.y_PO;avg_concentration;0.31103143045298076
178;Dry and wet weather flow;pollutants_effluent;.effluent.y_PO;avg_max_daily_concentration;0.39349092554347825
179;Dry and wet weather flow;pollutants_effluent;.effluent.y_TKN;avg_daily_load;6089.432498690469
180;Dry and wet weather flow;pollutants_effluent;.effluent.y_TKN;avg_max_daily_load;14181.69773420936
181;Dry and wet weather flow;pollutants_effluent;.effluent.y_TKN;avg_concentration;2.8263665350319656
182;Dry and wet weather flow;pollutants_effluent;.effluent.y_TKN;avg_max_daily_concentration;4.207712422282609
183;Dry and wet weather flow;pollutants_effluent;.effluent.y_TN;avg_daily_load;11467.756280261852
184;Dry and wet weather flow;pollutants_effluent;.effluent.y_TN;avg_max_daily_load;22833.88622507089
185;Dry and wet weather flow;pollutants_effluent;.effluent.y_TN;avg_concentration;5.96661291049123
186;Dry and wet weather flow;pollutants_effluent;.effluent.y_TN;avg_max_daily_concentration;7.515281236956522
187;Dry and wet weather flow;pollutants_effluent;.effluent.y_TP;avg_daily_load;993.2914939397554
188;Dry and wet weather flow;pollutants_effluent;.effluent.y_TP;avg_max_daily_load;1946.2134697812928
189;Dry and wet weather flow;pollutants_effluent;.effluent.y_TP;avg_concentration;0.4815234249270532
190;Dry and wet weather flow;pollutants_effluent;.effluent.y_TP;avg_max_daily_concentration;0.5890593473369564
191;Dry and wet weather flow;pollutants_effluent;.effluent.y_TSS;avg_daily_load;11275.476773183487
192;Dry and wet weather flow;pollutants_effluent;.effluent.y_TSS;avg_max_daily_load;22113.748427646962
193;Dry and wet weather flow;pollutants_effluent;.effluent.y_TSS;avg_concentration;5.00347106468499
194;Dry and wet weather flow;pollutants_effluent;.effluent.y_TSS;avg_max_daily_concentration;6.472416013586956
195;RTC;FD;;;0.09244039157949904
196;RTC;DWF_var;;;0.014424562174146829
197;RTC;CSO;;;115.05039914464578
198;RTC;5_perc_steps;;;1.3953445506490771
199;RTC;15_perc_steps;;;1.2829508037962425
200;RTC;pollutants;NH4_sew;avg_daily_load;31371.30280514832
201;RTC;pollutants;NH4_sew;avg_max_daily_load;38119.006831060804
202;RTC;pollutants;NH4_sew;avg_concentration;40.57004757370736
203;RTC;pollutants;NH4_sew;avg_max_daily_concentration;43.69959271036616
204;RTC;pollutants;PO4_sew;avg_daily_load;5062.187498103478
205;RTC;pollutants;PO4_sew;avg_max_daily_load;6151.021556830266
206;RTC;pollutants;PO4_sew;avg_concentration;6.546530403939143
207;RTC;pollutants;PO4_sew;avg_max_daily_concentration;7.051525187354537
208;RTC;pollutants;COD_sol;avg_daily_load;112651.49643666895
209;RTC;pollutants;COD_sol;avg_max_daily_load;136881.88816608203
210;RTC;pollutants;COD_sol;avg_concentration;145.6833526510401
211;RTC;pollutants;COD_sol;avg_max_daily_concentration;156.9212647326785
212;RTC;pollutants;X_TSS_sew;avg_daily_load;191764.50497131512
213;RTC;pollutants;X_TSS_sew;avg_max_daily_load;243796.60556031007
214;RTC;pollutants;X_TSS_sew;avg_concentration;246.7987440681107
215;RTC;pollutants;X_TSS_sew;avg_max_daily_concentration;285.9557971367032
216;RTC;pollutants;COD_part;avg_daily_load;287087.76058069454
217;RTC;pollutants;COD_part;avg_max_daily_load;365025.52764766366
218;RTC;pollutants;COD_part;avg_concentration;369.66955966699925
219;RTC;pollutants;COD_part;avg_max_daily_concentration;428.9299506807042
220;RTC;pollutants_effluent;.effluent.y_BOD;avg_daily_load;4512.714826585655
221;RTC;pollutants_effluent;.effluent.y_BOD;avg_max_daily_load;9391.00454858467
222;RTC;pollutants_effluent;.effluent.y_BOD;avg_concentration;1.79370771229441
223;RTC;pollutants_effluent;.effluent.y_BOD;avg_max_daily_concentration;2.417552696195652
224;RTC;pollutants_effluent;.effluent.y_COD;avg_daily_load;53698.574150480854
225;RTC;pollutants_effluent;.effluent.y_COD;avg_max_daily_load;88317.95876490972
226;RTC;pollutants_effluent;.effluent.y_COD;avg_concentration;31.206011195890937
227;RTC;pollutants_effluent;.effluent.y_COD;avg_max_daily_concentration;33.52122447282609
228;RTC;pollutants_effluent;.effluent.y_DO;avg_daily_load;6620.964222581532
229;RTC;pollutants_effluent;.effluent.y_DO;avg_max_daily_load;8796.562899728178
230;RTC;pollutants_effluent;.effluent.y_DO;avg_concentration;4.3432259158843785
231;RTC;pollutants_effluent;.effluent.y_DO;avg_max_daily_concentration;4.870690826630435
232;RTC;pollutants_effluent;.effluent.y_NH;avg_daily_load;3497.7967488812887
233;RTC;pollutants_effluent;.effluent.y_NH;avg_max_daily_load;7851.56163245191
234;RTC;pollutants_effluent;.effluent.y_NH;avg_concentration;1.604877353058904
235;RTC;pollutants_effluent;.effluent.y_NH;avg_max_daily_concentration;2.2282702413043474
236;RTC;pollutants_effluent;.effluent.y_NO;avg_daily_load;4969.9110811524915
237;RTC;pollutants_effluent;.effluent.y_NO;avg_max_daily_load;8627.32933155144
238;RTC;pollutants_effluent;.effluent.y_NO;avg_concentration;2.796848752008087
239;RTC;pollutants_effluent;.effluent.y_NO;avg_max_daily_concentration;3.185880004347826
240;RTC;pollutants_effluent;.effluent.y_PO;avg_daily_load;453.95779947593655
241;RTC;pollutants_effluent;.effluent.y_PO;avg_max_daily_load;925.8325258245636
242;RTC;pollutants_effluent;.effluent.y_PO;avg_concentration;0.22483036603464293
243;RTC;pollutants_effluent;.effluent.y_PO;avg_max_daily_concentration;0.2830049348369565
244;RTC;pollutants_effluent;.effluent.y_TKN;avg_daily_load;5425.930054211612
245;RTC;pollutants_effluent;.effluent.y_TKN;avg_max_daily_load;10939.779979687275
246;RTC;pollutants_effluent;.effluent.y_TKN;avg_concentration;2.713463654153325
247;RTC;pollutants_effluent;.effluent.y_TKN;avg_max_daily_concentration;3.3968701929347827
248;RTC;pollutants_effluent;.effluent.y_TN;avg_daily_load;10395.841135634244
249;RTC;pollutants_effluent;.effluent.y_TN;avg_max_daily_load;18992.397187425664
250;RTC;pollutants_effluent;.effluent.y_TN;avg_concentration;5.510312406469591
251;RTC;pollutants_effluent;.effluent.y_TN;avg_max_daily_concentration;6.37378551521739
252;RTC;pollutants_effluent;.effluent.y_TP;avg_daily_load;905.0361889832188
253;RTC;pollutants_effluent;.effluent.y_TP;avg_max_daily_load;1716.1066180701196
254;RTC;pollutants_effluent;.effluent.y_TP;avg_concentration;0.4404306675629747
255;RTC;pollutants_effluent;.effluent.y_TP;avg_max_daily_concentration;0.532170037826087
256;RTC;pollutants_effluent;.effluent.y_TSS;avg_daily_load;10788.023984711426
257;RTC;pollutants_effluent;.effluent.y_TSS;avg_max_daily_load;19860.648331832064
258;RTC;pollutants_effluent;.effluent.y_TSS;avg_concentration;4.972890811114147
259;RTC;pollutants_effluent;.effluent.y_TSS;avg_max_daily_concentration;6.099872972282608
260;ENSEMBLE;FD;;;0.07930611175573733
261;ENSEMBLE;DWF_var;;;0.016304909472269622
262;ENSEMBLE;CSO;;;120.33945235947613
263;ENSEMBLE;5_perc_steps;;;1.435798087083751
264;ENSEMBLE;15_perc_steps;;;1.3069353327085287
265;ENSEMBLE;pollutants;NH4_sew;avg_daily_load;31300.933821654755
266;ENSEMBLE;pollutants;NH4_sew;avg_max_daily_load;38802.567598277725
267;ENSEMBLE;pollutants;NH4_sew;avg_concentration;40.45567190273789
268;ENSEMBLE;pollutants;NH4_sew;avg_max_daily_concentration;43.403341904429084
269;ENSEMBLE;pollutants;PO4_sew;avg_daily_load;5050.832503039745
270;ENSEMBLE;pollutants;PO4_sew;avg_max_daily_load;6261.323407903905
271;ENSEMBLE;pollutants;PO4_sew;avg_concentration;6.528074329759976
272;ENSEMBLE;pollutants;PO4_sew;avg_max_daily_concentration;7.003721080032872
273;ENSEMBLE;pollutants;COD_sol;avg_daily_load;112398.80781412385
274;ENSEMBLE;pollutants;COD_sol;avg_max_daily_load;139336.49273927
275;ENSEMBLE;pollutants;COD_sol;avg_concentration;145.2726400143769
276;ENSEMBLE;pollutants;COD_sol;avg_max_daily_concentration;155.85745502044983
277;ENSEMBLE;pollutants;X_TSS_sew;avg_daily_load;191274.02114712037
278;ENSEMBLE;pollutants;X_TSS_sew;avg_max_daily_load;246503.54530126063
