location,rain_threshold,certainty_threshold,OF_1_outflow,OF_1_FD,OF_1_outflow_2,OF_2_cso,OF_3_margin_025,OF_3_margin_05,OF_3_margin_10,OF_3_margin_15,OF_4_COD_part,OF_4_COD_sol,OF_4_X_TSS_sew,OF_4_NH4_sew,OF_4_PO4_sew
RZ,1.0,0.8,0.044,0.55,0.012,309.55,5132,5363,5744,7049,24756212157189.27,7210340486622.558,7795098420704.304,326052791421.054,8489835338.603
RZ,1.0,0.925,0.044,0.576,0.015,309.545,4511,4856,5418,7056,27939797515064.41,7882674461735.191,8696872321118.867,356525812070.839,9283298650.047
RZ,1.0,0.9,0.044,0.579,0.013,309.552,4930,5211,5653,7050,25836008151310.133,7433572449359.499,8102797993865.271,336219429775.294,8754556536.659
RZ,2.5,0.725,0.104,1.018,0.032,309.56,5187,5405,5683,6887,18222434392506.0,5501502283079.76,5869241167529.148,250674965538.631,6527130688.431
RZ,2.5,0.75,0.104,1.018,0.032,309.56,5205,5425,5723,6888,18182618799558.188,5490155582965.717,5857042715748.358,250157748146.468,6513663266.562
RZ,2.5,0.775,0.109,1.383,0.051,309.512,5281,5480,5764,6960,19413879043205.293,5836026025816.196,6206326124935.809,265901266709.733,6923596515.929
RZ,2.5,0.825,0.057,0.886,0.013,309.541,5285,5495,5842,6970,22923353609675.027,6808016756869.645,7252121735723.701,308021014498.086,8020319907.463
RZ,2.5,0.85,0.058,0.942,0.012,309.545,5222,5445,5796,6966,23206212795446.56,6876938499468.543,7338007109520.054,311096428356.73,8100398219.764
RZ,2.5,0.875,0.054,0.879,0.012,309.55,5163,5369,5734,6970,24057596728346.793,7052677649804.639,7576750835186.385,318955284400.623,8305028867.064
RZ,2.5,0.8,0.085,1.443,0.02,309.544,5277,5469,5793,6987,18965807572547.68,5721918002160.738,6011896155731.135,259811477280.279,6765029219.886
RZ,2.5,0.925,0.044,0.55,0.012,309.548,5113,5351,5757,7049,24631331709901.773,7192364629416.801,7761061607456.348,325022634184.776,8463011874.615
RZ,2.5,0.9,0.044,0.551,0.012,309.558,5130,5363,5743,7049,24739887818415.43,7206705711414.251,7789934906573.938,325888904028.287,8485568002.1
RZ,2.0,0.725,0.103,1.022,0.032,309.517,5241,5507,5748,6859,18345795574811.184,5519143871545.14,5905950036076.997,251500104333.961,6548615836.506
RZ,2.0,0.75,0.108,1.34,0.045,309.533,5249,5451,5730,6962,19172737508930.176,5761490598387.962,6124043603416.538,262510294597.816,6835301627.415
RZ,2.0,0.775,0.079,1.386,0.012,309.541,5271,5466,5793,6988,18985634735320.074,5735706531657.097,6020215742671.949,260433827699.81,6781234118.981
