,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew
135,-53420649452.40262,-21893384.765078165,-10674514.173579091,-11813976.626398839,-2162467.8898332585,-348943.6822230939
136,-53617306154.83786,-21973980.5814372,-10713810.1158597,-11857467.256142393,-2170428.553147837,-350228.2438034009
137,-53834950137.90055,-22063177.615015782,-10757299.736555288,-11905599.222996708,-2179238.7815822144,-351649.8943007664
138,-54072067074.604095,-22160355.249184996,-10804680.44284739,-11958037.633548696,-2188837.275179974,-353198.74213131395
139,-54323296888.27596,-22263316.763722137,-10854881.184215302,-12013597.10684223,-2199007.058037411,-354839.7752742186
140,-54581985743.527695,-22369335.217269953,-10906572.391271703,-12070806.14718115,-2209478.7828980014,-356529.5308767229
141,-54841904587.33102,-22475857.75702587,-10958509.374640483,-12128287.199488254,-2220000.29769516,-358227.3207644462
142,-55098583163.37728,-22581052.337846912,-11009798.887706049,-12185051.666580886,-2230390.646453513,-359903.9452231804
143,-55349093035.56323,-25974775.870659467,-11629951.428632546,-13644104.924196692,-2362299.2907578386,-381189.2037359239
144,-55591076431.47547,-26088336.258527122,-11680796.979781626,-13703756.251123019,-2372627.142095373,-382855.74338357156
145,-55823777083.841034,-26197540.34767576,-11729692.040856678,-13761119.288937652,-2382558.8059383356,-384458.3527764132
146,-56050499263.25149,-26303938.799251292,-11777330.905194404,-13817008.573384125,-2392235.3085555737,-386019.788426013
147,-56274180842.117294,-26408910.327397224,-11824330.878545687,-13872148.319390334,-2401782.0383415665,-387560.2834596618
148,-56494681850.97742,-26512389.24584519,-11870662.550527375,-13926504.023084443,-2411193.021399716,-389078.87390768144
149,-56713571287.8501,-26615111.86967517,-11916655.599003064,-13980462.458167927,-2420535.2225654423,-390586.3654594236
150,-56932617313.758514,-26717907.97917373,-11962681.549966939,-14034459.494014611,-2429884.1069512134,-392094.93543985486
151,-57159692452.16014,-26824472.07087423,-12010394.578047888,-14090435.786381995,-2439575.6738581946,-393658.8019180269
152,-57416242445.886894,-26944868.417430256,-12064300.862729754,-14153677.925335577,-2450525.2275904524,-395425.661724823
153,-57732001985.67161,-27093051.21185583,-12130648.257229319,-14231515.809487907,-2464001.8447484644,-397600.29767532035
154,-58130558998.31695,-27280090.03232016,-12214393.056726357,-14329764.098675111,-2481012.2580481675,-400345.1598214088
155,-58616378693.68588,-25819342.486994762,-11712724.790572312,-13675201.149236917,-2630703.0757726226,-424499.81449967314
156,-59172256988.59566,-26064195.75833662,-11823800.391461182,-13804887.555439366,-2655650.893648173,-428525.48511140974
157,-59771572480.140274,-26328182.246052194,-11943555.612981629,-13944707.859616727,-2682548.172908696,-432865.72790117585
158,-60393110458.06837,-26601957.294569958,-12067751.33173122,-14089712.669867352,-2710442.7973581087,-437366.90593733115
159,-61026180232.03659,-26880811.86860748,-12194251.333965551,-14237407.848134138,-2738854.968813802,-441951.597240409
160,-61660203573.218765,-27160086.469931405,-12320941.878000572,-14385325.493631938,-2767309.9363660584,-446543.1942772503
161,-62269561238.55989,-27428496.334360868,-12442703.726689037,-14527488.636956025,-2794657.908386568,-450956.1624896508
162,-62820529777.64204,-27671186.956455767,-12552798.260168431,-14656029.597123887,-2819385.3764205747,-454946.2766496836
163,-63290366326.91834,-27878140.559681,-12646680.999444824,-14765642.46407005,-2840471.6407520957,-458348.83293954266
164,-63682199559.8829,-28050735.262137223,-12724977.1160558,-14857057.15732068,-2858057.1162475445,-461186.48921267194
165,-64018015273.48188,-28198655.3676633,-12792079.811947148,-14935402.963303322,-2873128.5254738666,-463618.46661055577
166,-64317845728.62908,-28330724.68654654,-12851991.933494663,-15005353.408489166,-2886584.9163008733,-465789.8387667318
167,-64587794202.42057,-27478877.043419834,-13571187.31781261,-15001806.959396226,-2927118.8332537003,-472330.5390023016
168,-64828846101.51814,-27581432.5738909,-13621837.142850993,-15057796.08399962,-2938043.305320802,-474093.35154040216
169,-65049492853.471344,-27675306.734509386,-13668199.4383714,-15109045.705075791,-2948043.0161193213,-475706.94123743597
170,-65256332728.1193,-27763306.75917836,-13711660.632832427,-15157088.40276027,-2957416.9992383667,-477219.5612407364
171,-65446287673.49106,-27844123.090686776,-13751573.965953942,-15201209.237921769,-2966025.757362615,-478608.7017562401
172,-65603600646.43006,-27911051.89502367,-13784628.567827884,-15237748.322146311,-2973155.1812962103,-479759.131527343
173,-65707254547.41079,-27955151.447195925,-13806408.325501956,-15261824.013727104,-2977852.776088657,-480517.1525052151
174,-65760539464.28238,-27977821.515078943,-13817604.552235015,-15274200.50136887,-2980267.6485212776,-480906.825102297
175,-65786127904.21021,-27988708.116846237,-13822981.19523265,-15280143.928310907,-2981427.3166188067,-481093.95336348924
176,-65800985402.890274,-27995029.23965967,-13826103.052855305,-15283594.879529325,-2982100.6584589873,-481202.6062513366
177,-65801656883.96167,-27995314.921281494,-13826244.144458026,-15283750.844437776,-2982131.089981143,-481207.5167924116
178,-65767471746.1795,-27980770.854412068,-13819061.163307235,-15275810.662485112,-2980581.8195368545,-480957.5208798106
179,-65683067711.371056,-27122509.15005645,-13936633.306998711,-15055215.95012336,-2890054.9793003267,-466349.78075073444
180,-65556953863.79942,-27070432.958978698,-13909874.470820963,-15026309.395121466,-2884505.9700071746,-465454.3724329759
181,-65411878150.43066,-27010526.84465733,-13879092.305958377,-14993056.59086021,-2878122.638618949,-464424.33486805763
182,-65289212773.562645,-26959874.630587224,-13853065.166294523,-14964940.459828293,-2872725.3620367562,-463553.4106922947
183,-65161116832.59151,-26906979.973682012,-13825885.769539267,-14935579.589198299,-2867089.1406340264,-462643.92951139965
184,-65007231506.05089,-26843436.105793595,-13793234.380953878,-14900307.533501925,-2860318.1862662393,-461551.3436929613
185,-64805618999.97729,-26760184.253660623,-13750456.239415182,-14854095.930984795,-2851447.2359990007,-460119.8948998387
186,-64541219126.253784,-26651005.613803975,-13694355.874208529,-14793492.83592863,-2839813.6415551663,-458242.65579640184
187,-64214512444.10956,-26516098.62354616,-13625035.250391167,-14718608.397314353,-2825438.5475408207,-455923.03835317784
188,-63845809359.23038,-26363850.058707,-13546803.829841502,-14634097.963229196,-2809215.6118061366,-453305.24645053566
189,-63461620661.91503,-26205207.019924574,-13465286.672045132,-14546038.071917545,-2792311.3091242616,-450577.5066995967
190,-63092933374.472206,-26052964.97832081,-13387058.603395514,-14461531.258762775,-2776089.068476777,-447959.82695875264
191,-62758107346.342865,-24926892.656893924,-12928170.113346629,-13937948.060549287,-2706129.588774304,-436670.9109158536
