,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,H2O_sew,FD
2024-07-20 08:25:00,-16622388.090596642,-9335013.181604953,-9441297.49334385,-1988762.5152585933,-320913.95132581843,45083520000.00001,0.14510463218117362
2024-07-20 08:30:00,-16605637.351520592,-9333047.791448232,-9433828.14380911,-1988719.701747099,-320907.04278191814,45083520000.00001,0.14532501834695644
2024-07-20 08:35:00,-16588832.096388424,-9331076.00483822,-9426334.484930374,-1988676.7488970482,-320900.11175384175,45083520000.00001,0.14557709799315913
2024-07-20 08:40:00,-16571991.514995817,-9329100.073343365,-9418825.073660908,-1988633.7057559812,-320893.1661560787,45083520000.00001,0.14585874656119258
2024-07-20 08:45:00,-13239449.785486788,-7459074.225270018,-7526398.960529259,-1590313.1760169994,-256618.71703910665,36054135679.53178,0.14616883143943235
2024-07-20 08:50:00,-13445259.510420695,-7581131.191965147,-7645075.585054677,-1616643.7065084805,-260867.50718659564,36651870511.72975,0.14695224247330163
2024-07-20 08:55:00,-13655429.002839733,-7705834.070682375,-7766282.769089159,-1643547.9071112336,-265208.8668293126,37262635705.059654,0.14809230942362064
2024-07-20 09:00:00,-13875747.494506143,-7829766.256546632,-7891078.722152746,-1670739.4362751928,-269596.5908534969,37886639865.8195,0.14920808992342208
2024-07-20 09:05:00,-14099504.87138028,-7955627.0270039905,-8017815.093489187,-1698365.3582016355,-274054.41007344564,38520721030.46016,0.15029901676896984
2024-07-20 09:10:00,-14325497.740240248,-8082737.230954066,-8145807.385241508,-1726280.9531824642,-278558.97199080663,39161599429.55094,0.15136417972775085
2024-07-20 09:15:00,-14546232.366480201,-8206868.84232229,-8270794.604871694,-1753583.0394383024,-282964.53590936237,39788784166.600945,0.152401840792876
2024-07-20 09:20:00,-14753399.347560037,-8323334.470421973,-8388053.044773361,-1779268.6888089858,-287109.2656941772,40379505346.96783,0.15341105595924553
2024-07-20 09:25:00,-14965579.572114713,-8442617.441601409,-8508147.726556063,-1805577.6386764138,-291354.573513694,40984579998.70092,0.15439580633092317
2024-07-20 09:30:00,-15177926.631774722,-8561983.487652605,-8628323.094120942,-1831925.579864976,-295606.1731145756,41590749449.68439,0.1553540382441908
2024-07-20 09:35:00,-15385898.11383553,-8678870.38503368,-8745997.122489665,-1857763.9406193178,-299775.5449635717,42185555783.19802,0.15628059199287905
2024-07-20 09:40:00,-15586956.870160287,-8791847.544057505,-8859728.311957242,-1882785.4111786834,-303813.10044019663,42762010002.164375,0.15717188864439385
2024-07-20 09:45:00,-15779813.963177498,-8900188.7437838,-8968785.056085058,-1906832.920386124,-307693.49397139717,43316529394.13556,0.1580257536201058
2024-07-20 09:50:00,-15964598.638814181,-9003967.808503589,-9073242.002755146,-1929920.5036573557,-311418.9903628914,43849415224.24248,0.15884090684644184
2024-07-20 09:55:00,-16142292.4431883,-9103739.259133143,-9173658.195608197,-1952165.2240150312,-315008.47932969814,44363309577.72499,0.15961674661858602
2024-07-20 10:00:00,-16319144.913812285,-9198679.77058442,-9272232.100368785,-1972642.7280606024,-318312.80384614255,44858403225.363434,0.16035308428736292
2024-07-20 10:05:00,-16489625.780306056,-9289954.27365605,-9367155.795647087,-1992335.908912976,-321490.5671200483,45336123072.68044,0.1610500245172336
2024-07-20 10:10:00,-16655090.35610924,-9378334.888842613,-9459202.63138576,-2011410.144225742,-324568.45509097195,45800179223.54497,0.16170815598181612
2024-07-20 10:15:00,-16815409.947689004,-9463756.304590091,-9548302.39600572,-2029851.2488316963,-327544.1787887509,46250204278.637535,0.16232813427107454
2024-07-20 10:20:00,-16971122.21157364,-9546527.44449946,-9634762.93451002,-2047725.3256543584,-330428.4048214987,46687665099.31635,0.16291254447381162
2024-07-20 10:25:00,-17122191.585794598,-9626633.831932172,-9718566.282461442,-2065029.1321663796,-333220.6099632112,47112453422.76793,0.16346818773869065
2024-07-20 10:30:00,-17269258.282447916,-9704440.184399111,-9800077.744448243,-2081840.7861316332,-335933.3995803316,47526321818.073456,0.16399698379011643
2024-07-20 10:35:00,-17412052.775557134,-9779799.124714931,-9879146.011120822,-2098128.5700151194,-338561.655616076,47928520824.32005,0.16449845839715463
2024-07-20 10:40:00,-17549906.923683472,-9852339.726603692,-9955393.74616066,-2113812.7982622283,-341092.5197195868,48317203106.49675,0.164972910634987
2024-07-20 10:45:00,-17681677.88678454,-9921425.55409489,-10028174.729743702,-2128756.795971108,-343503.9375317015,48689212569.98121,0.16542211526711506
2024-07-20 10:50:00,-17806743.197925277,-9986713.339416202,-10097138.346847054,-2142886.7614931064,-345784.00015002384,49042823820.61576,0.16584888032748796
2024-07-20 10:55:00,-17925295.437782764,-10048317.295984913,-10162396.296412427,-2156227.0474062194,-347936.63719509443,49378555545.285034,0.16625671840363132
2024-07-20 11:00:00,-18064017.29236622,-10111623.12234096,-10235632.040676888,-2168652.513662452,-349941.6556137137,49698375777.04086,0.1666491484289619
2024-07-20 11:05:00,-18195438.554901868,-10170773.465744365,-10304705.275485005,-2180181.2196438806,-351801.9695334442,49997813546.61045,0.16702921872765628
2024-07-20 11:10:00,-18318917.262818918,-10225427.403952729,-10369259.140309997,-2190741.5267707054,-353506.0190925456,50275182088.807625,0.167399662784678
2024-07-20 11:15:00,-18435481.963036783,-10276174.99385426,-10429881.79709173,-2200461.1343140374,-355074.4103097651,50533372865.839005,0.16776317496822626
2024-07-20 11:20:00,-18545450.933487527,-10323206.001997946,-10486757.934784826,-2209381.6735212496,-356513.86095456517,50773311558.86789,0.16812348250829887
2024-07-20 11:25:00,-18650177.738671284,-10367284.266168125,-10540656.829489503,-2217667.4600869915,-357850.88560494623,50998748688.1829,0.16848791055817264
2024-07-20 11:30:00,-18748864.8849318,-10407974.931325078,-10591130.920476886,-2225226.1578221354,-359070.58455766254,51207539965.96882,0.1688579639458166
2024-07-20 11:35:00,-18842401.1892454,-10445780.748314383,-10638685.7928401,-2232166.0115420823,-360190.42458974506,51402153243.27053,0.16923282550227411
2024-07-20 11:40:00,-18931796.46280334,-10481270.20004407,-10683894.843681764,-2238609.2034134306,-361230.1214598944,51585380649.61387,0.1696124078749839
2024-07-20 11:45:00,-19018034.29944087,-10514995.985017926,-10727316.199610064,-2244674.441276441,-362208.8302968802,51759937404.97135,0.16999707462231392
2024-07-20 11:50:00,-19102071.16589606,-10547494.398566077,-10769492.160265366,-2250476.817143028,-363145.12276626134,51928458844.74692,0.1703873329899501
2024-07-20 11:55:00,-19184829.178818498,-10579281.044317313,-10810945.013740554,-2256126.867732673,-364056.835475045,52093479490.10516,0.17078328093809567
2024-07-20 12:00:00,-19298548.364870127,-10616240.166142676,-10865533.836101001,-2262881.6992097925,-365146.8196452166,52257134299.34556,0.17118434073611796
2024-07-20 12:05:00,-19411171.535530332,-10652602.238317657,-10919507.74204431,-2269509.5256034057,-366216.30981327686,52417854398.46267,0.17158929161432462
2024-07-20 12:10:00,-19525404.472968727,-10689859.356669385,-10974391.488434473,-2276328.5506256903,-367316.6524873274,52582987036.26464,0.17199660596486752
2024-07-20 12:15:00,-19641165.92117634,-10727965.575806087,-11030138.866857443,-2283328.926218732,-368446.2585489319,52752305162.83598,0.17240432371280115
2024-07-20 12:20:00,-19758458.579674892,-10766919.737319594,-11086750.422616478,-2290510.2894862653,-369605.0694398293,52925801189.20091,0.17281180030800405
2024-07-20 12:25:00,-19879996.915907625,-10808195.068522424,-11145747.084562033,-2298185.7848001136,-370843.61527456396,53110712607.71147,0.17322282618979293
2024-07-20 12:30:00,-20005087.336139787,-10851401.997282289,-11206735.385510225,-2306272.0217832713,-372148.4398786644,53305116071.2952,0.1736366533099172
2024-07-20 12:35:00,-20132207.106478512,-10895705.11284834,-11268858.821603686,-2314591.0291459635,-373490.82515764417,53504900982.15164,0.1740580040001329
2024-07-20 12:40:00,-20261763.9424507,-10941315.749846341,-11332342.171025226,-2323187.28520569,-374877.94829455466,53711098363.94334,0.1745043730556816
2024-07-20 12:45:00,-20394719.9418754,-10988733.291821873,-11397716.104048947,-2332165.924377653,-376326.7741609395,53926145048.3949,0.17499658464756618
2024-07-20 12:50:00,-20529243.318303112,-11036938.905937573,-11463945.168753926,-2341309.2900582408,-377802.1808957617,54145017992.776344,0.17554712929815425
2024-07-20 12:55:00,-20667037.13701713,-11086810.294189455,-11531966.417951167,-2350801.8711546846,-379333.9382999605,54371995346.490036,0.17615573534414936
2024-07-20 13:00:00,-20789437.382181752,-11131289.244334405,-11593015.110031798,-2361691.2367331497,-381091.0859273946,54601768266.97616,0.17681202126016485
2024-07-20 13:05:00,-20912637.34172055,-11176062.398837551,-11654463.900778633,-2372652.264102329,-382859.79716196674,54833058094.51222,0.17750693176569818
2024-07-20 13:10:00,-21037113.991674688,-11221372.74149108,-11716574.526148764,-2383737.3618797553,-384648.52884877863,55067063553.834175,0.1782442813277428
2024-07-20 13:15:00,-21162774.490183935,-11267166.003445402,-11779293.653788561,-2394935.330423137,-386455.4737728243,55303520952.11855,0.17903124172856888
2024-07-20 13:20:00,-21291083.29679937,-11314219.874579597,-11843435.725383969,-2406411.612989026,-388307.3284595927,55546248590.89301,0.1798642538426469
2024-07-20 13:25:00,-21421892.23234523,-11362454.615721269,-11908917.973597059,-2418149.31912431,-390201.36740414985,55794855549.47633,0.18072328901841878
2024-07-20 13:30:00,-21556726.136767242,-11412685.466514846,-11976590.297137868,-2430321.4988483884,-392165.51458689885,56053341446.61006,0.18158628420328612
2024-07-20 13:35:00,-21698729.61017014,-11466588.489339054,-12048203.631422225,-2443284.2848407337,-394257.2368720273,56329932000.96421,0.18243950851554103
2024-07-20 13:40:00,-21848153.792612042,-11524307.906941505,-12123901.360466272,-2457067.603584718,-396481.3633057156,56625329291.21549,0.1832850584386407
2024-07-20 13:45:00,-22008011.74799116,-11587439.068929752,-12205357.5503075,-2472011.1725139082,-398892.71192838036,56947368781.240166,0.18413017054576808
2024-07-20 13:50:00,-22180308.453938738,-11657027.955612812,-12293680.829415765,-2488338.813873111,-401527.3995113426,57301196430.7668,0.18497441008270862
2024-07-20 13:55:00,-22364317.010985505,-11732672.991391182,-12388461.615854396,-2505966.179918102,-404371.8153958753,57684849221.43639,0.18580599320477578
2024-07-20 14:00:00,-22550923.138081994,-11821785.770922793,-12489544.181860201,-2525295.6897497606,-407490.8953914384,58100765547.77829,0.1866136908769534
2024-07-20 14:05:00,-22748757.033324275,-11916734.744151458,-12596832.172860552,-2545873.5667838417,-410811.4164583014,58545239346.0604,0.18739979267156268
2024-07-20 14:10:00,-22955306.25367783,-12016195.800886568,-12708932.276749674,-2567417.1997282626,-414287.77541069663,59011745213.6203,0.18817059958136603
2024-07-20 14:15:00,-23168512.572575293,-12119085.48090366,-12824703.403886197,-2589695.2978352075,-417882.6503324992,59494946898.17513,0.1889235583699944
2024-07-20 14:20:00,-23386785.29505072,-12224568.294517333,-12943264.15010256,-2612529.443194307,-421567.25106089935,59990734138.02925,0.18964113552653133
2024-07-20 14:25:00,-23607808.90813412,-12331434.598217962,-13063333.193115566,-2635661.0973879085,-425299.8588966851,60493172527.73681,0.19029888464832537
2024-07-20 14:30:00,-23826325.429982565,-12436944.873281835,-13182002.85179918,-2658504.4932056507,-428985.95231272996,60988840756.69892,0.1908991450277472
2024-07-20 14:35:00,-24039463.490080997,-12539611.450410316,-13297687.428292528,-2680741.2511990946,-432574.1564434902,61470471838.904335,0.19145472398206184
2024-07-20 14:40:00,-24244515.608274646,-12638032.94255692,-13408892.088749198,-2702071.4106279435,-436016.06853314536,61931223769.381775,0.19196914550447775
2024-07-20 14:45:00,-24439944.61735021,-12731418.945636144,-13514769.505085533,-2722325.610285317,-439284.3598414943,62367250960.365715,0.19243302068269344
2024-07-20 14:50:00,-24627115.555844244,-12820492.17603429,-13616077.541425448,-2741657.9919262677,-442403.90324264765,62782123400.08478,0.19282990030828337
2024-07-20 14:55:00,-24803239.707866594,-12903814.796972629,-13711277.969356047,-2759760.601693097,-445325.00618229504,63168835474.24657,0.19314982120136762
2024-07-20 15:00:00,-24959370.43708949,-12983086.019734722,-13798283.183229804,-2775695.0668032668,-447896.2494159816,63528296115.42464,0.1934019177632419
2024-07-20 15:05:00,-25103498.548383314,-13056119.966691874,-13878650.817544498,-2790299.2317317785,-450252.8305749004,63857326186.68036,0.19360185748103698
2024-07-20 15:10:00,-25236474.81515224,-13123362.2101401,-13952850.128124822,-2803669.9348758687,-452410.37585496955,64158150218.918175,0.19375851790852067
2024-07-20 15:15:00,-25356667.85255292,-13183966.213802878,-14019978.504029622,-2815627.266294468,-454339.85433387983,64426656100.85206,0.19386923224614636
2024-07-20 15:20:00,-25464507.101475563,-13238157.96568614,-14080272.425481565,-2826220.8996328698,-456049.2815316674,64663987754.68365,0.19391862841395807
2024-07-20 15:25:00,-25563170.460010763,-13287592.654006721,-14135487.96591814,-2835805.821138333,-457595.9393200489,64878275654.25889,0.1938850257848916
2024-07-20 15:30:00,-25650118.60875721,-13330953.55042832,-14184219.838372692,-2844102.685320277,-458934.75149486255,65063137497.63852,0.19375474336199472
2024-07-20 15:35:00,-25584176.724034872,-13294882.639434632,-14148395.092564933,-2835468.0555855087,-457541.4362422067,64860743307.9997,0.19353345980103293
2024-07-20 15:40:00,-25493793.696502887,-13246152.966649117,-14099039.06831267,-2824155.6212772494,-455716.02070610115,64597208858.265175,0.19324912579828374
2024-07-20 15:45:00,-25378212.467401113,-13184376.478340087,-14035731.19664544,-2810085.4145286465,-453445.60098075843,64270719378.768684,0.19292992982406476
2024-07-20 15:50:00,-25245111.902791854,-13113546.354192743,-13962716.984417414,-2794110.5622586794,-450867.84072810464,63900797644.056244,0.19259260635274636
2024-07-20 15:55:00,-25106195.449221354,-13039743.136735363,-13886469.016656367,-2777527.275462302,-448191.90126778005,63517091011.53405,0.19224016681418368
2024-07-20 16:00:00,-24962056.008700304,-12964673.24076963,-13808428.658365777,-2761004.441060604,-445525.71662568796,63149013002.87114,0.1920407592093963
2024-07-20 16:05:00,-24830721.303869605,-12896259.34963407,-13737426.315594146,-2745913.4060313804,-443090.57233688125,62813420166.925896,0.19202082724857497
2024-07-20 16:10:00,-24711128.861595478,-12833949.19763785,-13672877.874886721,-2732135.4126664936,-440867.305225729,62507617317.6409,0.19178609626953036
