,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
3600,-55599068865.141975,-26092087.027722478,-11682476.349943632,-13705726.46594615,-2372968.25916426,-382910.7872742328,0.17192861850474933
3601,-55831851319.44329,-26201329.50570154,-11731388.599241424,-13763109.668755965,-2382903.4143138397,-384513.9600370059,0.17233669410150818
3602,-56058575209.06482,-26307728.759862024,-11779027.822928699,-13818999.374786567,-2392579.9899228862,-386075.4074648294,0.1727444124930748
3603,-56282258371.72124,-26412701.031265058,-11826028.129066067,-13874139.511213003,-2402126.7873050626,-387615.9134060441,0.17315545771779914
3604,-56502749304.21613,-26516175.22097559,-11872357.683801895,-13928492.730982319,-2411537.340303945,-389134.4344581365,0.17356931876068404
3605,-56721595591.97475,-26618877.595357828,-11918341.665785735,-13982440.529377695,-2420877.6998654823,-390641.62884193007,0.17399111998710373
3606,-56940602000.26969,-26721655.11270656,-11964359.292296667,-14036427.799086481,-2430224.8933715103,-392149.9259758573,0.17443815870145082
3607,-57167632454.8503,-26828198.234736696,-12012062.931413146,-14092393.076445147,-2439914.553173011,-393713.484716554,0.17493081248016765
3608,-57424133799.25666,-26948571.750653155,-12065958.993899811,-14155623.22285476,-2450862.0305522745,-395480.0094754806,0.1754814141079135
3609,-57739854569.83626,-27096736.351078454,-12132298.242213994,-14233451.550010335,-2464336.9930406115,-397654.37842246227,0.17608987110943047
3610,-58138381285.31446,-27283760.953385223,-12216036.675670275,-14331692.370642867,-2481346.1132572214,-400399.0319119607,0.17674604375363906
3611,-58624172961.51714,-25822775.706089076,-11714282.241170354,-13677019.55192195,-2631052.8825128893,-424556.26058730716,0.17744115138213146
3612,-59180026791.33685,-26067618.20104806,-11825352.95344493,-13806700.250418888,-2655999.602395198,-428581.7540228615,0.1781785544482558
3613,-59779322772.90086,-26331596.09500738,-11945104.276481051,-13946516.002917772,-2682896.006047791,-432921.8555213481,0.17896542718617336
3614,-60400864765.81102,-26605372.912044443,-12069300.797504358,-14091521.749863712,-2710790.810689599,-437423.0626340034,0.17979825619228862
3615,-61033961543.62061,-26884239.38073401,-12195806.195646271,-14239223.22812669,-2739204.1940776934,-442007.9494989005,0.18065711623824687
3616,-61667998137.98788,-27163519.819820903,-12322499.387932736,-14387143.965592572,-2767659.756432896,-446599.64251530817,0.18152036574543848
3617,-62277369171.620476,-27431935.572715394,-12444263.907873204,-14529310.227739058,-2795008.328422327,-451012.7075408755,0.18237392719372952
3618,-62828348562.062416,-27674630.974617258,-12554360.609671311,-14657853.719529163,-2819736.2834653617,-455002.90028645605,0.18321966555337107
3619,-63298183123.60486,-27881583.702285472,-12648242.951758722,-14767466.122737015,-2840822.458587386,-458405.4421811464,0.18406533344047854
3620,-63690016299.33492,-28054178.379531052,-12726539.056933103,-14858880.802634839,-2858407.9315141514,-461243.0980397835,0.1849099114524701
3621,-64025837696.65404,-28202100.988622177,-12793642.888545409,-14937227.934629388,-2873479.5958258333,-463675.11659916857,0.18574195362661053
3622,-64325675454.37648,-28334173.524143755,-12853556.469293507,-15007180.083506033,-2886936.3143924163,-465846.5416405944,0.1865501251932511
3623,-64595637516.26156,-27482213.981293485,-13572835.35491688,-15003628.725902073,-2927474.292236974,-472387.89715642075,0.18733665019094375
3624,-64836710625.35631,-27584778.535557844,-13623489.636599869,-15059622.77695151,-2938399.725541148,-474150.8648032307,0.1881079747598701
3625,-65057380020.316635,-27678662.329643715,-13669856.68986893,-15110877.657318944,-2948400.46252075,-475764.6200885755,0.1888613288074363
3626,-65264247313.054,-27766674.019338828,-13713323.645418907,-15158926.723403053,-2957775.6882276074,-477277.4406003639,0.18957912880603323
3627,-65454233625.74799,-27847503.696074486,-13753243.569442168,-15203054.844252486,-2966385.867918899,-478666.81050509505,0.19023696303119653
3628,-65611576279.129684,-27914445.127955727,-13786304.40777073,-15239600.822353452,-2973516.6369701573,-479817.4573292754,0.19083728354025495
3629,-65715261628.662,-27958558.059914254,-13808090.773414461,-15263683.818489324,-2978215.657010962,-480575.7082904052,0.19139280120984192
3630,-65768578815.147545,-27981241.856904525,-13819293.780638803,-15276067.801394321,-2980631.9919024864,-480965.616875174,0.19190705766869
3631,-65794199024.31086,-27992141.97489306,-13824677.098988198,-15282018.607376684,-2981793.0997817684,-481152.9774647853,0.19237077800872296
3632,-65809088550.91724,-27998476.72398774,-13827805.686318731,-15285476.997721547,-2982467.893127569,-481261.86457285774,0.19276730168324552
3633,-65809789734.24871,-27998775.04243612,-13827953.01896034,-15285639.86157395,-2982499.6707561514,-481266.99232656084,0.19308688771912644
3634,-65775628876.49388,-27984241.305504326,-13820775.139528895,-15277705.319143234,-2980951.5006827028,-481017.17397379974,0.19333877317461726
3635,-65691246569.93705,-27125886.446124107,-13938368.697209245,-15057090.626295272,-2890414.8490772303,-466407.85064655304,0.19353868510164254
3636,-65565151711.71665,-27073818.096319158,-13911613.89019204,-15028188.423842574,-2884866.675315533,-465512.5771531882,0.19369489998442313
3637,-65420087433.894,-27013916.704077847,-13880834.151723629,-14994938.240722844,-2878483.847091336,-464482.6207806474,0.1938052904266406
3638,-65300697033.20616,-26964616.825921822,-13855501.896505684,-14967572.766981184,-2873230.669461071,-463634.94893576374,0.1938543846781614
3639,-65175141091.315636,-26912771.010836966,-13828861.436755352,-14938794.089540457,-2867706.208017888,-462743.501748341,0.19382026022756943
3640,-65019635324.360756,-26848558.014488287,-13795866.223122867,-14903150.61269673,-2860863.9542718735,-461639.4108029614,0.19368968321078334
3641,-64817065643.89428,-26764910.916333266,-13752884.988321489,-14856719.616237009,-2851950.8883313485,-460201.1660716494,0.19346885854918852
3642,-64553580680.65361,-26656110.070462298,-13696978.748821083,-14796326.227812614,-2840357.549948759,-458330.42283264064,0.19318550045745084
3643,-64227400901.570305,-26521420.654285427,-13627769.923295187,-14721562.56064893,-2826005.6396690933,-456014.5464011491,0.19286747356053588
3644,-63857351710.64595,-26368616.24187703,-13549252.885964857,-14636743.585597157,-2809723.4752684217,-453387.1971455862,0.19253100551698163
3645,-63473632889.04265,-26210167.22887238,-13467835.42639707,-14548791.394497467,-2792839.8471178766,-450662.7935122028,0.19217852993032955
3646,-63105601596.624565,-26058196.06729418,-13389746.5467718,-14464434.941962317,-2776646.4702514806,-448049.77133603435,0.19179986733066132
3647,-62769897844.60306,-24931575.72489789,-12930598.95598823,-13940566.612307893,-2706637.995059284,-436752.9492027481,0.19137716018571868
3648,-62464082571.432274,-24810108.956547186,-12867601.009715049,-13872648.098289393,-2693451.2404801594,-434625.0865320257,0.19089724630763305
3649,-62170691934.04031,-24693577.129281476,-12807162.538412305,-13807488.971631013,-2680800.236195818,-432583.67447705247,0.19035143871756843
3650,-61864246019.55668,-24571859.87650772,-12744034.680028677,-13739430.398483343,-2667586.288363284,-430451.42380407534,0.1897367311563254
3651,-61518859233.7333,-24434675.69904653,-12672885.002149059,-13662723.447219828,-2652693.2101585795,-428048.22254831623,0.18905155392430836
3652,-61118115246.17573,-24275504.19462854,-12590331.740712201,-13573722.215023167,-2635413.129415097,-425259.8458828907,0.18829988499795697
3653,-60655565604.74809,-24091784.1025499,-12495046.514578108,-13470994.565158505,-2615467.9888767377,-422041.4254778372,0.18748921717900352
