,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
15844,-55138449000.0,-17907865.46622,-8886112.44084,-12513671.000550002,-2474613.59112,-399312.647658,0.080515876
15845,-56607590000.0,-18385013.080199998,-9122879.2044,-12847092.5505,-2540548.6392,-409952.16677999997,0.081928738
15846,-58160822000.0,-21739352.04716,-10016456.76484,-14831009.61,-2789393.02312,-450106.601458,0.083407335
15847,-59649857000.0,-22295923.54946,-10272898.37254,-15210713.535,-2860807.14172,-461630.24332300003,0.084807714
15848,-61293838000.0,-22910410.76764,-10556024.78036,-15629928.690000001,-2939652.47048,-474353.01228200004,0.086332617
15849,-62940178000.0,-23525779.732839998,-10839557.45516,-16049745.39,-3018610.93688,-487094.037542,0.08783595
15850,-64666329000.0,-27293070.817740005,-11545526.37966,-18138905.2845,-3215209.87788,-518817.95756699995,0.089384749
15851,-66394719000.0,-28022555.101140004,-11854113.130259998,-18623718.6795,-3301145.42868,-532684.830537,0.090775597
15852,-68231747000.0,-28797891.138820004,-12182096.10938,-19139005.0335,-3392482.4608400003,-547423.306181,0.091987991
15853,-69961018000.0,-29527747.257080004,-12490840.153719999,-19624065.549,-3478461.8149599996,-561297.247414,0.092919933
15854,-71592601000.0,-30216373.178060003,-12782142.982539998,-20081724.5805,-3559584.1217199997,-574387.4378229999,0.093630987
15855,-73143953000.0,-33214669.057299994,-12712419.0314,-21449464.217249997,-3540167.3252000003,-571254.27293,0.094113374
15856,-74633404000.0,-33891028.7564,-12971285.6152,-21886245.722999997,-3612256.7536000004,-582886.88524,0.094309485
15857,-75941226000.0,-34484910.7266,-13198585.0788,-22269764.524499997,-3675555.3384000002,-593100.97506,0.094221765
15858,-77104498000.0,-35013152.5418,-13400761.752400002,-22610894.038500004,-3731857.703200001,-602186.12938,0.093861377
15859,-78052715000.0,-37462181.0914,-12825622.1288,-23486061.943499997,-3571692.2384,-576341.2475599999,0.093285166
15860,-78745628000.0,-37794751.614879996,-12939481.592959998,-23694559.465199996,-3603399.93728,-581457.7171519999,0.092652905
15861,-79257282000.0,-38040325.06872,-13023556.57824,-23848516.1538,-3626813.2243200005,-585235.770288,0.09194304
15862,-79613882000.0,-38211478.80472,-13082153.09024,-23955817.093799997,-3643131.2403200003,-587868.904688,0.091104452
15863,-79778362000.0,-38542522.24944,-12857080.819919998,-24005309.125799995,-3580452.88656,-577754.8976039999,0.090201079
