,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
3712,-51006004000.0,-14272212.550031556,-7403208.7607693365,-9940050.05952,-1581267.8906497613,-255159.1369003024,0.05280513
3713,-49995724000.0,-13299089.90642376,-7358335.882974818,-9438692.73396,-1571683.3924800581,-253612.5474229185,0.052839843
3714,-49042526000.0,-11619832.398911402,-8720368.87290613,-9258738.48354,-1862603.0602323771,-300556.4029011336,0.052550123
3715,-48122759000.0,-11528358.645509392,-8509323.876241764,-9085095.671610001,-1817525.488129309,-293282.52194813854,0.05242354
3716,-47375886000.0,-11461022.266720474,-8334600.1927242,-8944093.517940002,-1780205.8664071108,-287260.49207932927,0.05234224
3717,-46635923000.0,-11022919.78548835,-8327265.44512827,-8709724.979480002,-1742340.4616713799,-281150.39267879084,0.052397961
3718,-46022461000.0,-10994187.740962982,-8170912.7546093315,-8595154.81636,-1709626.2866787107,-275871.5144413374,0.053013691
3719,-45505184000.0,-10986663.597688045,-8031630.915432344,-8498548.163840001,-1680483.900672985,-271168.99306314084,0.053496037
3720,-45072253000.0,-11005679.405963002,-7903938.968224361,-8417693.970280001,-1653766.5049425252,-266857.7769339075,0.054258338
3721,-44773900000.0,-10797572.545223253,-8046966.148915333,-8361973.564000001,-1667716.9102241138,-269108.86505889107,0.054526276
3722,-44548970000.0,-10863142.284827033,-7954565.448631491,-8319965.637200001,-1648567.0582764097,-266018.77531278424,0.055370245
3723,-44433588000.0,-10955623.00808534,-7880941.709021479,-8298416.894880001,-1633308.6921705573,-263556.6298729763,0.056254395
3724,-44414361000.0,-11079398.765474645,-7820289.484128201,-8294826.0603600005,-1620738.6453696433,-261528.2814119197,0.057155941
3725,-44494012000.0,-11393442.47460053,-7397014.7323357295,-8219378.836760001,-1662233.6908626608,-268224.07284374756,0.058224134
3726,-44677359000.0,-11562908.715143342,-7372809.383422155,-8253248.52807,-1656794.341622576,-267346.35967091564,0.059048554
3727,-44930570000.0,-11652061.046337971,-7459191.378372755,-8300024.196100001,-1676205.8295655604,-270478.6679526245,0.059911238
3728,-45257757000.0,-11760703.032229478,-7558430.648882072,-8360465.450610001,-1698506.5636949802,-274077.1955053263,0.060874606
3729,-45658169000.0,-11888755.785464423,-7670621.30285293,-8434433.559370002,-1723717.691640292,-278145.35478741076,0.061807358
3730,-46131777000.0,-11712157.849849196,-8122224.1561498055,-8521923.165210001,-1665450.2347367366,-268743.10605979164,0.062547844
3731,-46640902000.0,-11864385.979972359,-8260897.252745568,-8615973.826460002,-1693884.9512425861,-273331.4353141446,0.063344686
3732,-47107559000.0,-12025265.37719588,-8363772.38793518,-8702179.374070002,-1714979.3478950583,-276735.3038648844,0.063916237
3733,-47692649000.0,-12248965.30075187,-8467652.947453387,-8810263.049770001,-1736279.9053418986,-280172.4392710791,0.064618419
3734,-48284156000.0,-12645788.097311856,-8401219.365091782,-8919532.137880001,-1831056.3308105727,-295465.90792625153,0.065202266
3735,-48849974000.0,-12863815.473377438,-8499669.0747381,-9024055.697020002,-1852513.5688947714,-298928.3258898381,0.0658051
3736,-49463903000.0,-13100729.809329793,-8606489.875408022,-9137466.80119,-1875795.2967998465,-302685.15016542975,0.066208389
3737,-50049613000.0,-13331168.395465236,-8708400.700862398,-9245665.00949,-1898006.889429094,-306269.29352151294,0.066365096
3738,-50631192000.0,-14261650.759657286,-8360123.733530655,-9455881.41792,-1881660.587691,-303631.5948319568,0.066529751
3739,-51144407000.0,-13129159.486165209,-9798245.49306,-9551729.45132,-2205346.82984,-355862.78390599997,0.066736886
3740,-51639070000.0,-13330779.585913615,-9893013.0306,-9644112.713200001,-2226676.6983999996,-359304.64905999997,0.066907359
3741,-52182537000.0,-13551410.96684344,-9997130.43846,-9745610.61012,-2250110.9954399997,-363086.09244599997,0.067777216
3742,-52737750000.0,-14404233.18934491,-9994858.38,-10063417.455,-2158028.73,-348227.36325,0.068808961
3743,-53297465000.0,-14638957.473359255,-10100935.5668,-10170222.2713,-2180932.2678,-351923.16139499994,0.068934163
