;H2O_sew;NH4_sew;PO4_sew;COD_sol;X_TSS_sew;COD_part
2024-07-16 04:50:00;22997,97592163086;0;0;0;0;0
2024-07-16 04:55:00;23048,374843597412;0;0;0;0;0
2024-07-16 05:00:00;23098,490524291992;0;0;0;0;0
2024-07-16 05:05:00;23148,330688476562;0;0;0;0;0
2024-07-16 05:10:00;23238,903522491455;0;0;0;0;0
2024-07-16 05:15:00;23330,06601333618;0;0;0;0;0
2024-07-16 05:20:00;23421,195030212402;0;0;0;0;0
2024-07-16 05:25:00;23511,89661026001;0;0;0;0;0
2024-07-16 05:30:00;23602,170753479004;0;0;0;0;0
2024-07-16 05:35:00;23692,298126220703;0;0;0;0;0
2024-07-16 05:40:00;23782,005786895752;0;0;0;0;0
2024-07-16 05:45:00;23871,29888534546;0;0;0;0;0
2024-07-16 05:50:00;23960,17999649048;0;0;0;0;0
2024-07-16 05:55:00;24048,651695251465;0;0;0;0;0
2024-07-16 06:00:00;24136,72170639038;0;0;0;0;0
2024-07-16 06:05:00;24224,39260482788;0;0;0;0;0
2024-07-16 06:10:00;24338,953399658203;0;0;0;0;0
2024-07-16 06:15:00;24453,411197662354;0;0;0;0;0
2024-07-16 06:20:00;24567,46473312378;0;0;0;0;0
2024-07-16 06:25:00;24681,00070953369;0;0;0;0;0
2024-07-16 06:30:00;24794,026851654053;0;0;0;0;0
2024-07-16 06:35:00;24906,635856628418;0;0;0;0;0
2024-07-16 06:40:00;25018,75047683716;0;0;0;0;0
2024-07-16 06:45:00;25130,3861618042;0;0;0;0;0
2024-07-16 06:50:00;25241,54806137085;0;0;0;0;0
2024-07-16 06:55:00;25352,246475219727;0;0;0;0;0
2024-07-16 07:00:00;25462,496852874756;0;0;0;0;0
2024-07-16 07:05:00;25572,304344177246;0;0;0;0;0
2024-07-16 07:10:00;25709,035205841064;0;0;0;0;0
2024-07-16 07:15:00;25845,08113861084;0;0;0;0;0
2024-07-16 07:20:00;25980,39321899414;0;0;0;0;0
2024-07-16 07:25:00;26115,21863937378;0;0;0;0;0
2024-07-16 07:30:00;26249,585723876953;0;0;0;0;0
2024-07-16 07:35:00;26383,35027694702;0;0;0;0;0
2024-07-16 07:40:00;26516,71314239502;0;0;0;0;0
2024-07-16 07:45:00;26649,6768951416;0;0;0;0;0
2024-07-16 07:50:00;26782,244110107422;0;0;0;0;0
2024-07-16 07:55:00;26914,41993713379;0;0;0;0;0
2024-07-16 08:00:00;27046,199226379395;0;0;0;0;0
2024-07-16 08:05:00;157120,5665588379;0;0;0;0;0
2024-07-16 08:10:00;155642,22221374512;0;0;0;0;0
2024-07-16 08:15:00;154188,57650756836;0;0;0;0;0
2024-07-16 08:20:00;152759,54704284668;0;0;0;0;0
2024-07-16 08:25:00;151355,1441192627;0;0;0;0;0
2024-07-16 08:30:00;149974,97634887695;0;0;0;0;0
2024-07-16 08:35:00;148618,28155517578;0;0;0;0;0
2024-07-16 08:40:00;147284,97734069824;0;0;0;0;0
2024-07-16 08:45:00;145974,6826171875;0;0;0;0;0
2024-07-16 08:50:00;144686,97509765625;0;0;0;0;0
2024-07-16 08:55:00;143421,47369384766;0;0;0;0;0
2024-07-16 09:00:00;142177,8076171875;0;0;0;0;0
2024-07-16 09:05:00;140955,66787719727;0;0;0;0;0
2024-07-16 09:10:00;139834,2384338379;0;0;0;0;0
2024-07-16 09:15:00;138731,60591125488;0;0;0;0;0
2024-07-16 09:20:00;137647,28622436523;0;0;0;0;0
2024-07-16 09:25:00;136581,63986206055;0;0;0;0;0
2024-07-16 09:30:00;135534,3578338623;0;0;0;0;0
2024-07-16 09:35:00;134504,66766357422;0;0;0;0;0
2024-07-16 09:40:00;133492,72384643555;0;0;0;0;0
2024-07-16 09:45:00;132498,21739196777;0;0;0;0;0
2024-07-16 09:50:00;131520,83930969238;0;0;0;0;0
2024-07-16 09:55:00;130560,32180786133;0;0;0;0;0
2024-07-16 10:00:00;129616,3558959961;0;0;0;0;0
2024-07-16 10:05:00;128688,68408203125;0;0;0;0;0
2024-07-16 10:10:00;127936,26136779785;0;0;0;0;0
2024-07-16 10:15:00;127198,92768859863;0;0;0;0;0
2024-07-16 10:20:00;126474,78790283203;0;0;0;0;0
2024-07-16 10:25:00;125763,14163208008;0;0;0;0;0
2024-07-16 10:30:00;125063,77258300781;0;0;0;0;0
2024-07-16 10:35:00;124376,7837524414;0;0;0;0;0
2024-07-16 10:40:00;123701,64985656738;0;0;0;0;0
2024-07-16 10:45:00;123038,15460205078;0;0;0;0;0
2024-07-16 10:50:00;122361,23886108398;0;0;0;0;0
2024-07-16 10:55:00;121668,3895111084;0;0;0;0;0
2024-07-16 11:00:00;120988,46626281738;0;0;0;0;0
2024-07-16 11:05:00;120321,23222351074;0;0;0;0;0
2024-07-16 11:10:00;119838,75389099121;0;0;0;0;0
2024-07-16 11:15:00;119370,59211730957;0;0;0;0;0
2024-07-16 11:20:00;118913,43040466309;0;0;0;0;0
2024-07-16 11:25:00;118464,82772827148;0;0;0;0;0
2024-07-16 11:30:00;118024,58839416504;0;0;0;0;0
2024-07-16 11:35:00;117594,15435791016;0;0;0;0;0
2024-07-16 11:40:00;117171,7643737793;0;0;0;0;0
2024-07-16 11:45:00;116757,25364685059;0;0;0;0;0
2024-07-16 11:50:00;116350,47798156738;0;0;0;0;0
2024-07-16 11:55:00;115951,28288269043;0;0;0;0;0
2024-07-16 12:00:00;115559,55505371094;0;0;0;0;0
2024-07-16 12:05:00;115175,11940002441;0;0;0;0;0
2024-07-16 12:10:00;114970,17631530762;0;0;0;0;0
2024-07-16 12:15:00;114775,22392272949;0;0;0;0;0
2024-07-16 12:20:00;114586,68823242188;0;0;0;0;0
2024-07-16 12:25:00;114401,68533325195;0;0;0;0;0
2024-07-16 12:30:00;114220,1431274414;0;0;0;0;0
2024-07-16 12:35:00;114043,92585754395;0;0;0;0;0
2024-07-16 12:40:00;113871,00448608398;0;0;0;0;0
2024-07-16 12:45:00;113701,31721496582;0;0;0;0;0
2024-07-16 12:50:00;113534,79194641113;0;0;0;0;0
2024-07-16 12:55:00;113371,37718200684;0;0;0;0;0
2024-07-16 13:00:00;113211,01112365723;0;0;0;0;0
2024-07-16 13:05:00;113053,6319732666;0;0;0;0;0
2024-07-16 13:10:00;112726,89514160156;0;0;0;0;0
2024-07-16 13:15:00;112402,6611328125;0;0;0;0;0
2024-07-16 13:20:00;112083,21647644043;0;0;0;0;0
2024-07-16 13:25:00;111769,71473693848;0;0;0;0;0
2024-07-16 13:30:00;111462,0735168457;0;0;0;0;0
2024-07-16 13:35:00;111159,28344726562;0;0;0;0;0
2024-07-16 13:40:00;110862,14790344238;0;0;0;0;0
2024-07-16 13:45:00;110570,54328918457;0;0;0;0;0
2024-07-16 13:50:00;110284,38720703125;0;0;0;0;0
2024-07-16 13:55:00;110003,57666015625;0;0;0;0;0
2024-07-16 14:00:00;109727,99835205078;0;0;0;0;0
2024-07-16 14:05:00;109457,55958557129;0;0;0;0;0
2024-07-16 14:10:00;108847,56088256836;0;0;0;0;0
2024-07-16 14:15:00;108242,20733642578;0;0;0;0;0
2024-07-16 14:20:00;107645,86601257324;0;0;0;0;0
2024-07-16 14:25:00;107060,63804626465;0;0;0;0;0
2024-07-16 14:30:00;106486,32774353027;0;0;0;0;0
2024-07-16 14:35:00;105921,15325927734;0;0;0;0;0
2024-07-16 14:40:00;105366,50505065918;0;0;0;0;0
2024-07-16 14:45:00;104822,2183227539;0;0;0;0;0
2024-07-16 14:50:00;104288,07678222656;0;0;0;0;0
2024-07-16 14:55:00;103763,91563415527;0;0;0;0;0
2024-07-16 15:00:00;103249,51858520508;0;0;0;0;0
2024-07-16 15:05:00;102744,73114013672;0;0;0;0;0
2024-07-16 15:10:00;102077,05421447754;0;0;0;0;0
2024-07-16 15:15:00;101416,96815490723;0;0;0;0;0
2024-07-16 15:20:00;100767,16117858887;0;0;0;0;0
2024-07-16 15:25:00;100129,47692871094;0;0;0;0;0
2024-07-16 15:30:00;99503,67851257324;0;0;0;0;0
2024-07-16 15:35:00;98888,1591796875;0;0;0;0;0
2024-07-16 15:40:00;98284,1136932373;0;0;0;0;0
2024-07-16 15:45:00;97691,33605957031;0;0;0;0;0
2024-07-16 15:50:00;97109,62028503418;0;0;0;0;0
2024-07-16 15:55:00;96538,77067565918;0;0;0;0;0
2024-07-16 16:00:00;95978,56063842773;0;0;0;0;0
2024-07-16 16:05:00;95428,80477905273;0;0;0;0;0
2024-07-16 16:10:00;94803,1608581543;0;0;0;0;0
2024-07-16 16:15:00;94188,03291320801;0;0;0;0;0
2024-07-16 16:20:00;93584,14192199707;0;0;0;0;0
2024-07-16 16:25:00;92991,50848388672;0;0;0;0;0
2024-07-16 16:30:00;92409,93690490723;0;0;0;0;0
2024-07-16 16:35:00;91839,04609680176;0;0;0;0;0
2024-07-16 16:40:00;91278,80516052246;0;0;0;0;0
2024-07-16 16:45:00;90729,01840209961;0;0;0;0;0
2024-07-16 16:50:00;90189,49012756348;0;0;0;0;0
2024-07-16 16:55:00;89660,02464294434;0;0;0;0;0
2024-07-16 17:00:00;89140,43655395508;0;0;0;0;0
2024-07-16 17:05:00;88630,55076599121;0;0;0;0;0
