#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part
#d	m3/d	m3/d	m3/d	m3/d	m3/d	m3/d
182.19097222222223	3275.5057096481323	0	0	0	0	0
182.19444444444446	3374.259066581726	0	0	0	0	0
182.19791666666666	3472.735297679901	0	0	0	0	0
182.20138888888889	3570.9356904029846	0	0	0	0	0
182.20486111111111	3668.8605666160583	0	0	0	0	0
182.20833333333334	3766.5108919143677	0	0	0	0	0
182.21180555555554	3863.887310028076	0	0	0	0	0
182.21527777777777	3999.828314781189	0	0	0	0	0
182.21875	4136.360263824463	0	0	0	0	0
182.22222222222223	4272.8896379470825	0	0	0	0	0
182.22569444444446	4409.039211273193	0	0	0	0	0
182.22916666666666	4544.807052612305	0	0	0	0	0
182.23263888888889	4680.458378791809	0	0	0	0	0
182.23611111111111	4815.731191635132	0	0	0	0	0
182.23958333333334	4950.624847412109	0	0	0	0	0
182.24305555555554	5085.1396679878235	0	0	0	0	0
182.24652777777777	5219.277584552765	0	0	0	0	0
182.25	5353.039562702179	0	0	0	0	0
182.25347222222223	5486.4259243011475	0	0	0	0	0
182.25694444444446	5645.330715179443	0	0	0	0	0
182.26041666666666	5804.200744628906	0	0	0	0	0
182.26388888888889	5962.739253044128	0	0	0	0	0
182.26736111111111	6120.8348751068115	0	0	0	0	0
182.27083333333334	6278.486323356628	0	0	0	0	0
182.27430555555554	6435.775351524353	0	0	0	0	0
182.27777777777777	6592.624068260193	0	0	0	0	0
182.28125	6749.032473564148	0	0	0	0	0
182.28472222222223	6905.002498626709	0	0	0	0	0
182.28819444444446	7060.535430908203	0	0	0	0	0
182.29166666666666	7215.631914138794	0	0	0	0	0
182.29513888888889	7370.814657211304	0	0	0	0	0
182.29861111111111	7576.7889976501465	0	0	0	0	0
182.30208333333334	7781.907176971436	0	0	0	0	0
182.30555555555554	7986.106753349304	0	0	0	0	0
182.30902777777777	8189.649724960327	0	0	0	0	0
182.3125	8392.539310455322	0	0	0	0	0
182.31597222222223	8594.59719657898	0	0	0	0	0
182.31944444444446	8796.004915237427	0	0	0	0	0
182.32291666666666	8996.767616271973	0	0	0	0	0
182.32638888888889	9196.886587142944	0	0	0	0	0
182.32986111111111	9396.363115310669	0	0	0	0	0
182.33333333333334	9595.1997756958	0	0	0	0	0
182.33680555555554	9793.399786949158	0	0	0	0	0
182.34027777777777	9990.963792800903	0	0	0	0	0
182.34375	10187.746953964233	0	0	0	0	0
182.34722222222223	10383.811712265015	0	0	0	0	0
182.35069444444446	10579.247546195984	0	0	0	0	0
182.35416666666666	10774.056386947632	0	0	0	0	0
182.35763888888889	10968.1809425354	0	0	0	0	0
182.36111111111111	11161.681079864502	0	0	0	0	0
182.36458333333334	11354.561948776245	0	0	0	0	0
182.36805555555554	11546.82354927063	0	0	0	0	0
182.37152777777777	11738.469743728638	0	0	0	0	0
182.375	11929.500532150269	0	0	0	0	0
182.37847222222223	12119.918489456177	0	0	0	0	0
