,total_inflow
2024-09-01 13:50:00,1.9822289232251933e-06
2024-09-01 13:55:00,1.998422931137611e-06
2024-09-01 14:00:00,2.014683559536934e-06
2024-09-01 14:05:00,2.0310108084231615e-06
2024-09-01 14:10:00,2.047404677796294e-06
2024-09-01 14:15:00,2.0638651676563313e-06
2024-09-01 14:20:00,2.0803927327506244e-06
2024-09-01 14:25:00,2.0969869183318224e-06
2024-09-01 14:30:00,2.113648179147276e-06
2024-09-01 14:35:00,2.13037628782331e-06
2024-09-01 14:40:00,2.1471714717336e-06
2024-09-01 14:45:00,2.1640337308781454e-06
2024-09-01 14:50:00,2.180963292630622e-06
2024-09-01 14:55:00,2.1979599296173546e-06
2024-09-01 15:00:00,2.2150238692120183e-06
2024-09-01 15:05:00,2.2321553387882886e-06
2024-09-01 15:10:00,2.2493538835988147e-06
2024-09-01 15:15:00,2.266620185764623e-06
2024-09-01 15:20:00,2.2839540179120377e-06
2024-09-01 15:25:00,2.3013551526673837e-06
2024-09-01 15:30:00,2.318824272151687e-06
2024-09-01 15:35:00,2.3363609216175973e-06
2024-09-01 15:40:00,2.353965555812465e-06
2024-09-01 15:45:00,2.371637947362615e-06
2024-09-01 15:50:00,2.3893780962680466e-06
2024-09-01 15:55:00,2.4071864572761115e-06
2024-09-01 16:00:00,2.4250625756394584e-06
2024-09-01 16:05:00,2.4430071334791137e-06
2024-09-01 16:10:00,2.4610196760477265e-06
2024-09-01 16:15:00,2.4791004307189723e-06
2024-09-01 16:20:00,2.4972496248665266e-06
2024-09-01 16:25:00,2.5154670311167138e-06
2024-09-01 16:30:00,2.5337528768432094e-06
2024-09-01 16:35:00,2.552107389419689e-06
2024-09-01 16:40:00,2.5705301140988013e-06
2024-09-01 16:45:00,2.589021733001573e-06
2024-09-01 16:50:00,2.6075820187543286e-06
2024-09-01 16:55:00,2.626210971357068e-06
2024-09-01 17:00:00,2.644908818183467e-06
2024-09-01 17:05:00,2.663675559233525e-06
2024-09-01 17:10:00,2.682511194507242e-06
2024-09-01 17:15:00,2.7014159513782943e-06
2024-09-01 17:20:00,2.7203896024730057e-06
2024-09-01 17:25:00,2.7394326025387272e-06
2024-09-01 17:30:00,2.7585447242017835e-06
2024-09-01 17:35:00,2.77772619483585e-06
2024-09-01 17:40:00,2.7969767870672513e-06
2024-09-01 17:45:00,2.816296955643338e-06
2024-09-01 17:50:00,2.8356867005641107e-06
2024-09-01 17:55:00,2.8551457944558933e-06
2024-09-01 18:00:00,2.874674692066037e-06
2024-09-01 18:05:00,2.8942731660208665e-06
2024-09-01 18:10:00,2.913941443694057e-06
2024-09-01 18:15:00,2.9336795250856085e-06
2024-09-01 18:20:00,2.953487410195521e-06
2024-09-01 18:25:00,2.97336532639747e-06
2024-09-01 18:30:00,2.9933130463177804e-06
2024-09-01 18:35:00,3.0133310247038025e-06
2024-09-01 18:40:00,3.0334192615555367e-06
2024-09-01 18:45:00,3.0535775294993073e-06
2024-09-01 18:50:00,3.0738062832824653e-06
2024-09-01 18:55:00,3.0941052955313353e-06
2024-09-01 19:00:00,3.1144745662459172e-06
2024-09-01 19:05:00,3.134914550173562e-06
2024-09-01 19:10:00,3.155425019940594e-06
2024-09-01 19:15:00,3.1760062029206892e-06
2024-09-01 19:20:00,3.1966578717401717e-06
2024-09-01 19:25:00,3.2173804811463924e-06
2024-09-01 19:30:00,3.238173803765676e-06
2024-09-01 19:35:00,3.2590382943453733e-06
2024-09-01 19:40:00,3.2799734981381334e-06
2024-09-01 19:45:00,3.3009798698913073e-06
2024-09-01 19:50:00,3.3220571822312195e-06
2024-09-01 19:55:00,3.343205889905221e-06
2024-09-01 20:00:00,3.364425765539636e-06
2024-09-01 20:05:00,3.3857168091344647e-06
2024-09-01 20:10:00,3.407079475437058e-06
2024-09-01 20:15:00,3.4285133097000653e-06
2024-09-01 20:20:00,3.4500189940445125e-06
2024-09-01 20:25:00,3.471596073723049e-06
2024-09-01 20:30:00,3.49324477610935e-06
2024-09-01 20:35:00,3.514965328577091e-06
2024-09-01 20:40:00,3.536757731126272e-06
2024-09-01 20:45:00,3.558621756383218e-06
2024-09-01 20:50:00,3.5805580864689546e-06
2024-09-01 20:55:00,3.6025662666361313e-06
2024-09-01 21:00:00,3.624646296884748e-06
2024-09-01 21:05:00,3.6467988593358314e-06
2024-09-01 21:10:00,3.66902349924203e-06
2024-09-01 21:15:00,3.6913202166033443e-06
2024-09-01 21:20:00,3.713689466167125e-06
2024-09-01 21:25:00,3.736131247933372e-06
2024-09-01 21:30:00,3.7586455619020853e-06
2024-09-01 21:35:00,3.7812321806995897e-06
2024-09-01 21:40:00,3.8038917864469113e-06
