;total_inflow;.t;.in_out_ES
2024-08-01 09:20:00;0,001823447528295219;0,3854166666666667;0,001823447528295219
2024-08-01 09:25:00;0,001857672119513154;0,3888888888888889;0,001857672119513154
2024-08-01 09:30:00;0,0018922099843621254;0,3923611111111111;0,0018922099843621254
2024-08-01 09:35:00;0,0019270610064268112;0,3958333333333333;0,0019270610064268112
2024-08-01 09:40:00;0,001962225418537855;0,3993055555555556;0,001962225418537855
2024-08-01 09:45:00;0,00199770275503397;0,4027777777777778;0,00199770275503397
2024-08-01 09:50:00;0,002033493248745799;0,40625;0,002033493248745799
2024-08-01 09:55:00;0,0020695964340120554;0,4097222222222222;0,0020695964340120554
2024-08-01 10:00:00;0,002106012776494026;0,4131944444444444;0,002106012776494026
2024-08-01 10:05:00;0,002145694335922599;0,4166666666666667;0,002145694335922599
2024-08-01 10:10:00;0,002185888821259141;0,4201388888888889;0,002185888821259141
2024-08-01 10:15:00;0,0022264663130044937;0,4236111111111111;0,0022264663130044937
2024-08-01 10:20:00;0,002267420059069991;0,4270833333333333;0,002267420059069991
2024-08-01 10:25:00;0,0023087423760443926;0,4305555555555556;0,0023087423760443926
2024-08-01 10:30:00;0,002350379480049014;0,4340277777777778;0,002350379480049014
2024-08-01 10:35:00;0,00239237560890615;0,4375;0,00239237560890615
2024-08-01 10:40:00;0,002434737514704466;0,4409722222222222;0,002434737514704466
2024-08-01 10:45:00;0,002477464731782675;0,4444444444444444;0,002477464731782675
2024-08-01 10:50:00;0,0025205572601407766;0,4479166666666667;0,0025205572601407766
2024-08-01 10:55:00;0,0025640148669481277;0,4513888888888889;0,0025640148669481277
2024-08-01 11:00:00;0,0026177570689469576;0,4548611111111111;0,0026177570689469576
2024-08-01 11:05:00;0,0026725579518824816;0,4583333333333333;0,0026725579518824816
2024-08-01 11:10:00;0,002727969316765666;0,4618055555555556;0,002727969316765666
2024-08-01 11:15:00;0,0027839690446853638;0,4652777777777778;0,0027839690446853638
2024-08-01 11:20:00;0,002840530825778842;0,46875;0,002840530825778842
2024-08-01 11:25:00;0,0028976527974009514;0,4722222222222222;0,0028976527974009514
2024-08-01 11:30:00;0,002955356612801552;0,4756944444444444;0,002955356612801552
2024-08-01 11:35:00;0,003013621550053358;0,4791666666666667;0,003013621550053358
2024-08-01 11:40:00;0,0030724459793418646;0,4826388888888889;0,0030724459793418646
2024-08-01 11:45:00;0,0031318296678364277;0,4861111111111111;0,0031318296678364277
2024-08-01 11:50:00;0,00319177214987576;0,4895833333333333;0,00319177214987576
2024-08-01 11:55:00;0,0032522734254598618;0,4930555555555556;0,0032522734254598618
2024-08-01 12:00:00;0,0033259105402976274;0,4965277777777778;0,0033259105402976274
2024-08-01 12:05:00;0,003401024267077446;0,5;0,003401024267077446
2024-08-01 12:10:00;0,003477029036730528;0,5034722222222222;0,003477029036730528
2024-08-01 12:15:00;0,003553896676748991;0,5069444444444444;0,003553896676748991
2024-08-01 12:20:00;0,0036315934266895056;0,5104166666666666;0,0036315934266895056
