#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD	Q_out
#d	g/d	g/d	g/d	g/d	g/d	g/d		m3/d
104.33333333333333	-57283198928.83301	-2328130.490834211	-375675.60193006624	-8360104.944359211	-12081360.697237983	-17508220.313256238	0.0056745635750797	57283.19892883301
104.33680555555556	-57283198928.83301	-2322676.25458504	-374795.4865353134	-8340519.277828094	-12041868.388584698	-17443245.977729734	0.0059716777607099	57283.19892883301
104.34027777777777	-57283198928.83301	-2317483.231747327	-373957.5214865008	-8321871.604910853	-12004267.439270915	-17381383.38270453	0.0062687919463402	57283.19892883301
104.34375	-57283198928.83301	-2312540.0535393045	-373159.8722756607	-8304121.101345681	-11968475.531733165	-17322497.0960124	0.006564931319315	57283.19892883301
104.34722222222223	-57283198928.83301	-2307831.3957341337	-372400.06612982624	-8287212.739227112	-11934381.708347216	-17266404.565704588	0.0068605021131835	57283.19892883301
104.35069444444444	-57283198928.83301	-2303342.663767335	-371675.748017002	-8271094.110800882	-11901880.29473104	-17212931.93203501	0.0071560710163534	57283.19892883301
104.35416666666667	-57283198928.83301	-2299061.9868124058	-370985.0024174567	-8255722.589008184	-11870885.33818241	-17161937.78215888	0.0074516399195233	57283.19892883301
104.35763888888889	-57283198928.83301	-2294979.2662071134	-370326.19977433	-8241061.910470997	-11841323.717650514	-17113301.814380713	0.0077468102004177	57283.19892883301
104.36111111111111	-57283198928.83301	-2291082.859705776	-369697.4614525233	-8227070.268943469	-11813111.135510746	-17066885.338856027	0.0080419791481271	57283.19892883301
104.36458333333333	-57283198928.83301	-2287362.9409953253	-369097.20184242784	-8213712.37902867	-11786176.442701915	-17022571.29828604	0.0083371480958366	57283.19892883301
104.36805555555556	-57283198928.83301	-2283810.270799688	-368523.9300608591	-8200955.063326156	-11760452.740702262	-16980249.628530465	0.008632317043546	57283.19892883301
104.37152777777777	-57283198928.83301	-2280416.1577600176	-367976.2436385485	-8188767.111956428	-11735877.098276217	-16939816.792587955	0.0089274859912555	57283.19892883301
104.375	-57283198928.83301	-2280904.972061473	-368055.120491738	-8190522.399675291	-11734022.112154195	-16934089.652231358	0.0092226549389649	57283.19892883301
104.37847222222223	-57283198928.83301	-2281372.2858454343	-368130.5279432407	-8192200.480990424	-11732248.717674345	-16928614.42038289	0.0095178238866743	57283.19892883301
104.38194444444444	-57283198928.83301	-2281847.2362923264	-368207.1676744438	-8193905.984867901	-11730446.343060903	-16923049.71439192	0.0099106226773244	57283.19892883301
104.38541666666667	-57283198928.83301	-2282299.055448108	-368280.0748563994	-8195528.426381842	-11728731.74866147	-16917756.02369332	0.0103022857702053	57283.19892883301
104.38888888888889	-57283198928.83301	-2282729.261420049	-368349.4944564173	-8197073.256917452	-11727099.173458196	-16912715.561545998	0.0106930959944266	57283.19892883301
104.39236111111111	-57283198928.83301	-2283139.3027915247	-368415.660223178	-8198545.6782059325	-11725543.120267292	-16907911.35577817	0.0110839033826001	57283.19892883301
104.39583333333333	-57283198928.83301	-2283530.300285958	-368478.75300068886	-8199949.714663217	-11724059.33609044	-16903330.27555398	0.0114747107707736	57283.19892883301
104.39930555555556	-57283198928.83301	-2283903.16773892	-368538.92024878034	-8201288.647789761	-11722644.353041587	-16898961.614016954	0.0118649202255338	57283.19892883301
104.40277777777777	-57283198928.83301	-2284259.0383250294	-368596.3448206298	-8202566.546712607	-11721293.870871771	-16894792.09444814	0.0122551276805167	57283.19892883301
104.40625	-57283198928.83301	-2284598.830852775	-368651.174978516	-8203786.710789512	-11720004.40282336	-16890810.951726407	0.0126453351354996	57283.19892883301
104.40972222222223	-57283198928.83301	-2284923.4068138017	-368703.54973586346	-8204952.233558654	-11718772.679648625	-16887008.09227724	0.0130355425904825	57283.19892883301
104.41319444444444	-57283198928.83301	-2285233.5744272284	-368753.59950984817	-8206066.017261413	-11717595.634262078	-16883374.046687998	0.0134257500454654	57283.19892883301
104.41666666666667	-57283198928.83301	-2295333.600403671	-370383.3764287741	-8242334.292358638	-11762956.030050104	-16944230.383748665	0.0138159575004483	57283.19892883301
104.42013888888889	-57283198928.83301	-2304992.961092059	-371942.04599440045	-8277020.178466942	-11806337.346583996	-17002431.551865876	0.0142061649554312	57283.19892883301
104.42361111111111	-57283198928.83301	-2315325.1200455134	-373609.280734617	-8314122.021981619	-11852740.27867216	-17064686.574704666	0.0147916320962954	57283.19892883301
104.42708333333333	-57283198928.83301	-2325136.236051968	-375192.4380902041	-8349352.847641162	-11896803.146056168	-17123802.12391441	0.0153787270922427	57283.19892883301
104.43055555555556	-57283198928.83301	-2334456.3426358574	-376696.3643798771	-8382820.503101491	-11938660.832800528	-17179959.16242436	0.0159663906672965	57283.19892883301
104.43402777777777	-57283198928.83301	-2343312.8631745274	-378125.48473952606	-8414623.463217625	-11978436.50049444	-17233322.926076367	0.0165540561330488	57283.19892883301
104.4375	-57283198928.83301	-2351734.200019203	-379484.38227582606	-8444863.71825078	-12016257.707413092	-17284064.549386684	0.0171417215988011	57283.19892883301
