#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD	Q_out
#d	g/d	g/d	g/d	g/d	g/d	g/d		m3/d
182.04861111111111	-34725050354.00391	-1226593.8132071944	-197927.63804025183	-5742689.216379139	-5643726.113265416	-10187631.290522749	0.240069018088965	34725.050354003906
182.05208333333334	-40124872684.47876	-1391474.1603153546	-224533.3304145232	-6514629.023294617	-6413803.394625617	-11589357.898481142	0.2466666951637989	40124.87268447876
182.05555555555554	-47811064910.88867	-1625733.239635159	-262334.2273047643	-7611387.440110064	-7505661.683431576	-13574544.306718966	0.253023481711552	47811.06491088867
182.05902777777777	-58748818016.052246	-1969147.9686756928	-317748.8767635777	-9219192.762436198	-9104085.50813433	-16478546.134908492	0.2585078199019917	58748.818016052246
182.0625	-71584910774.23096	-2367287.443210191	-381994.11015437177	-11083209.393211352	-10959028.841907565	-19850404.03739473	0.26278796178864	71584.91077423096
182.06597222222223	-74000006103.51562	-2415351.764028694	-389749.94374099385	-11308237.80431616	-11194916.902525157	-20291207.442712974	0.2654268613185079	74000.00610351562
182.06944444444446	-104371195220.94727	-3363923.9857710064	-542815.0067948669	-15749280.478836983	-15608685.00299766	-28308731.86952588	0.2671601421263657	104371.19522094727
182.07291666666666	-104371195220.94727	-3321997.333000208	-536049.5696432154	-15552987.513591882	-15430246.26137366	-28001352.91875841	0.2684667933095622	104371.19522094727
182.07638888888889	-104371195220.94727	-3281337.466350366	-529488.5457065364	-15362625.41064035	-15256393.966717158	-27700989.086546514	0.2695042152959234	104371.19522094727
182.07986111111111	-104371195220.94727	-3242638.6919998047	-523243.9707545141	-15181444.785271814	-15090414.782666655	-27413666.891910445	0.2703389164560746	104371.19522094727
182.08333333333334	-104371195220.94727	-3192113.398214268	-515091.0256209387	-14944894.54618498	-14867874.331926702	-27022061.080386464	0.2711193617873077	104371.19522094727
182.08680555555554	-104371195220.94727	-3145048.512720367	-507496.4645526047	-14724545.309554445	-14660376.540608635	-26656714.580932017	0.2718762893174434	104371.19522094727
182.09027777777777	-104371195220.94727	-3101201.5511482456	-500421.15938983054	-14519261.8076486	-14466874.245514749	-26315806.87550388	0.272609324426281	104371.19522094727
182.09375	-104371195220.94727	-3060398.7660309966	-493837.0736095472	-14328230.586417846	-14286634.88844014	-25998083.65533685	0.2733404289405257	104371.19522094727
182.09722222222223	-104371195220.94727	-3022735.1114541665	-487759.529348286	-14151896.203626322	-14120172.66459159	-25704551.760959804	0.2740400169066294	104371.19522094727
182.10069444444446	-104371195220.94727	-2988080.9241649173	-482167.60367206624	-13989651.599499386	-13966955.185003402	-25434315.499057017	0.274704927455641	104371.19522094727
182.10416666666666	-104371195220.94727	-2956212.1180640077	-477025.13723305566	-13840447.643663306	-13826005.753297908	-25185667.11810863	0.2752686625911158	104371.19522094727
182.10763888888889	-104371195220.94727	-2927021.96587676	-472314.9081301136	-13703784.65842301	-13696889.74941894	-24957879.511119124	0.2756321392813659	104371.19522094727
182.11111111111111	-104371195220.94727	-2900532.747922479	-468040.5115965818	-13579766.956182515	-13579771.007300962	-24751310.81319409	0.2757304663632953	104371.19522094727
182.11458333333334	-104371195220.94727	-2877175.938293555	-464271.5718610054	-13470414.62019255	-13476722.761571148	-24569792.9777398	0.275483790772324	104371.19522094727
182.11805555555554	-104371195220.94727	-2857426.2166597443	-461084.6849610041	-13377950.014361529	-13390022.262695065	-24417531.54487133	0.2748250747889513	104371.19522094727
182.12152777777777	-104371195220.94727	-2841434.24813862	-458504.16276782256	-13303078.52537626	-13320432.818042092	-24295975.68515633	0.2736503799258596	104371.19522094727
182.125	-104371195220.94727	-2822925.204080735	-455517.47611302766	-13216422.54637798	-13189909.972554836	-24014210.03625216	0.2715278145050837	104371.19522094727
182.12847222222223	-104371195220.94727	-2808678.802713555	-453218.6249833237	-13149723.48543164	-13082915.471513975	-23778899.988349188	0.268856782540655	104371.19522094727
182.13194444444446	-104371195220.94727	-2799524.2555713304	-451741.413967192	-13106863.560174862	-13002942.506500838	-23596023.416302875	0.2656470740093949	104371.19522094727
182.13541666666666	-104371195220.94727	-2795911.1261049346	-451158.3862578418	-13089947.544945825	-12951666.36270079	-23468204.306421425	0.2619445092302139	104371.19522094727
182.13888888888889	-104371195220.94727	-2797829.7007657555	-451467.974441747	-13098929.962676032	-12928611.41873813	-23394145.618294157	0.2578094034821372	104371.19522094727
182.14236111111111	-104371195220.94727	-2805070.4872114896	-452636.3740727632	-13132830.008308336	-12932404.23294411	-23370951.397982176	0.2533188433293669	104371.19522094727
182.14583333333334	-104371195220.94727	-2817268.2467316366	-454604.6489044233	-13189937.700607205	-12960991.98399976	-23394537.20989457	0.2485529302824747	104371.19522094727
182.14930555555554	-104371195220.94727	-2834339.031284388	-457359.25277543545	-13269860.010104178	-13013680.371923516	-23463336.310645446	0.2435919597869108	104371.19522094727
182.15277777777777	-104371195220.94727	-2856239.634554048	-460893.213757585	-13372394.652684854	-13089995.65023928	-23576213.759074297	0.2385106187587484	104371.19522094727
182.15625	-104371195220.94727	-2882792.367908943	-465177.85936712497	-13496709.722482774	-13188869.69356465	-23730986.50615045	0.2333720450644632	104371.19522094727
182.15972222222223	-104371195220.94727	-2913910.4026090163	-470199.1786028186	-13642398.703124024	-13309684.314944176	-23926316.13659526	0.2282254292790094	104371.19522094727
182.16319444444446	-104371195220.94727	-2949502.9880191297	-475942.5276121779	-13809036.716635011	-13451827.297831086	-24160899.449164078	0.2231019685145161	104371.19522094727
182.16666666666666	-104371195220.94727	-2976417.277806474	-480285.5152824085	-13954560.710790554	-13546701.606184777	-24283173.37957337	0.2180265782907038	104371.19522094727
182.17013888888889	-104371195220.94727	-3007806.481048017	-485350.591260021	-14120432.697994206	-13662845.556147426	-24445136.28561405	0.2130169664146247	104371.19522094727
