#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part\H2O_sew
#d	g/d	g/d	g/d	g/d	g/d	g/d	g/d
182.12152777777777	-45083518409.729004	-1901038.9156390207	-306758.5522962964	-8900318.559582688	-8908148.645670768	-16244357.174256468	45083520000.00001
182.125	-45083518409.729004	-1901183.3194037608	-306781.8538128794	-8900994.63175397	-8890725.594914228	-16194501.751920171	45083520000.00001
182.12847222222223	-45083518409.729004	-1901315.5446897307	-306803.1901658428	-8901613.686501922	-8874771.939738374	-16148850.951281762	45083520000.00001
182.13194444444446	-45749258995.05615	-1929514.072947494	-311353.40722561826	-9033634.068799632	-8991077.263476824	-16345120.965546278	45749258416.38142
182.13541666666666	-46818633842.46826	-1974729.4306216624	-318649.5217594044	-9245324.15245596	-9187532.197857715	-16687956.386324678	46818631902.89503
182.13888888888889	-47673316955.56641	-2010883.7024308527	-324483.5065286148	-9414591.87956263	-9342565.978671923	-16956296.326245304	47673316411.19512
182.14236111111111	-48877967834.47266	-2061794.746821352	-332698.6977825362	-9652948.13284542	-9566795.435758162	-17350863.61439313	48877969520.73283
182.14583333333334	-49800119018.55469	-2100784.68184668	-338990.255479805	-9835491.919554912	-9736249.754794804	-17646631.772550616	49800116683.86108
182.14930555555554	-50390707969.66553	-2125783.176600544	-343024.1034969057	-9952530.326811636	-9841484.763634687	-17826636.025713854	50390708263.5078
182.15277777777777	-51334138298.03467	-2165661.9163450515	-349459.08195567864	-10139235.33561547	-10016175.502774868	-18133023.59586236	51334136349.819954
182.15625	-51765380859.375	-2183928.732145631	-352406.68177804485	-10224757.245954547	-10091437.225134669	-18259939.94617434	51765382039.79457
182.15972222222223	-52438954353.33252	-2212414.93613664	-357003.3192402304	-10358124.473730637	-10214437.16754418	-18473759.74795811	52438954347.38541
182.16319444444446	-52806689071.65527	-2227993.961784196	-359517.20746972243	-10431062.639262374	-10278311.12812896	-18581116.062303606	52806686934.68821
182.16666666666666	-53231690025.32959	-2245985.7567927944	-362420.428937019	-10520421.69229945	-10352475.450649789	-18698830.532891072	53231689059.1424
182.17013888888889	-53488486862.18262	-2256877.4334328403	-364177.9494857538	-10576251.355380189	-10394381.56013736	-18759147.79947201	53488488399.44771
182.17361111111111	-53774498748.7793	-2268998.6569776493	-366133.8741941206	-10637589.444321845	-10442387.661280498	-18831284.59621847	53774498986.22091
