#.t	H2O_sew	NH4_sew	PO4_sew	COD_sol	X_TSS_sew	COD_part	FD	Q_out
#d	g/d	g/d	g/d	g/d	g/d	g/d		m3/d
104.04166666666667	-31697893810.272217	-1195585.3222235546	-192923.99517698263	-5597513.099501187	-5476828.053104561	-9861710.912463903	0.2262815369505632	31697.893810272217
104.04513888888889	-32596821784.973145	-1190381.008880378	-192084.20825115184	-5573147.450667224	-5466336.552917601	-9856462.622346498	0.2331136831267608	32596.821784973145
104.04861111111111	-34971259117.126465	-1248727.8322884657	-201499.26384654784	-5846316.669350545	-5746215.842532425	-10373297.506861674	0.2400821364177613	34971.259117126465
104.05208333333333	-40719488811.49292	-1430211.2265591396	-230784.0842856794	-6695988.924345065	-6593217.004822998	-11914421.636066658	0.2466792440123675	40719.48881149292
104.05555555555556	-45083518409.729004	-1555304.8848397436	-250969.6518718677	-7281654.688113347	-7181531.074446269	-12989366.522023177	0.2527400096229839	45083.518409729004
104.05902777777777	-45083518409.729004	-1535462.557426477	-247767.8217665452	-7188756.51886033	-7100043.111179542	-12852251.86885336	0.2588273689346365	45083.518409729004
104.0625	-45083518409.729004	-1517211.195754696	-244822.7156785987	-7103306.961942445	-7024661.234212954	-12724924.00950595	0.2648852511856768	45083.518409729004
104.06597222222223	-45083518409.729004	-1499910.785052732	-242031.05849714545	-7022309.584565069	-6952615.259042878	-12602560.087511636	0.2682227302978082	45083.518409729004
104.06944444444444	-45083518409.729004	-1483607.6127241654	-239400.3193259449	-6945981.09593587	-6884261.106329126	-12485948.03670744	0.2699472539314229	45083.518409729004
104.07291666666667	-45083518409.729004	-1468105.8735350878	-236898.90232043463	-6873404.771550642	-6818816.874973851	-12373797.540567676	0.2712523618650871	45083.518409729004
104.07638888888889	-45083518409.729004	-1453478.4981984503	-234538.57584565907	-6804922.059747296	-6756723.01438125	-12267010.389713092	0.2722910939390457	45083.518409729004
104.07986111111111	-45083518409.729004	-1439889.39203624	-232345.78826039328	-6741300.3354424	-6698828.774477284	-12167216.35310679	0.2731173970211734	45083.518409729004
104.08333333333333	-45083518409.729004	-1425631.7717160184	-230045.12679963023	-6674548.749397726	-6637340.459729859	-12060407.32658853	0.2738588242356549	45083.518409729004
104.08680555555556	-45083518409.729004	-1412521.2276352104	-227929.56173204535	-6613167.565746671	-6580702.08460724	-11961917.628735838	0.274535367562425	45083.518409729004
104.09027777777777	-45083518409.729004	-1400418.8725360292	-225976.6817046775	-6556506.539600505	-6528329.209802931	-11870747.830926986	0.2751604802250745	45083.518409729004
104.09375	-45083518409.729004	-1389225.6415679834	-224170.5012530156	-6504101.867341017	-6479813.116668736	-11786208.06296039	0.2757557487244388	45083.518409729004
104.09722222222223	-45083518409.729004	-1378942.526877777	-222511.1804734595	-6455958.194018686	-6435202.87356434	-11708432.183086572	0.2762840795133677	45083.518409729004
104.10069444444444	-45083518409.729004	-1369504.3556373026	-220988.2028414739	-6411770.392301919	-6394234.425160308	-11636979.980194911	0.2783408876964609	45083.518409729004
104.10416666666667	-45083518409.729004	-1360823.6112725642	-219587.44636443656	-6371128.725503371	-6356534.39628669	-11571207.279778766	0.2842872981653509	45083.518409729004
104.10763888888889	-45083518409.729004	-1352855.991836458	-218301.7623190648	-6333825.779961602	-6321925.909227382	-11510822.229828002	0.2904441861632099	45083.518409729004
104.11111111111111	-45083518409.729004	-1345599.7679773113	-217130.8716508843	-6299853.459166505	-6290426.752957256	-11455883.1390823	0.2960825198374847	45083.518409729004
104.11458333333333	-45083518409.729004	-1339179.2667289642	-216094.8362221738	-6269793.839685608	-6262639.615303607	-11407509.113856094	0.3010714119103398	45083.518409729004
104.11805555555556	-45083518409.729004	-1333726.120798554	-215214.8967652213	-6244263.201920507	-6239199.789476487	-11366877.090542678	0.3053873537484693	45083.518409729004
104.12152777777777	-45083518409.729004	-1329276.762826287	-214496.9321833328	-6223432.116868529	-6220297.014324933	-11334352.06642303	0.3093464276450111	45083.518409729004
