#.t	.in_39
#d	mm
23.2500000	0.0000000
23.2916667	0.0000000
23.3333333	0.0000000
23.3750000	0.0000000
23.4166667	0.0000000
23.4583333	0.0000000
23.5000000	0.0000000
23.5416667	0.0000000
23.5833333	0.0000000
23.6250000	0.0000000
23.6666667	0.0000000
23.7083333	0.0000000
23.7500000	0.0000000
23.7916667	0.0000000
23.8333333	0.0000000
23.8750000	0.0000000
23.9166667	0.0000000
23.9583333	0.0000000
24.0000000	0.0000000
24.0416667	0.0000000
24.0833333	0.0000000
24.1250000	0.0000000
24.1666667	0.0000000
24.2083333	0.0000000
24.2500000	0.0000000
24.2916667	0.0000000
24.3333333	0.0000000
24.3750000	0.0000000
24.4166667	0.0000000
24.4583333	0.0000000
24.5000000	0.0000000
24.5416667	0.0000000
24.5833333	0.0039100
24.6250000	0.0125900
24.6666667	0.0000000
24.7083333	0.5295600
24.7500000	0.3256400
24.7916667	0.0000000
24.8333333	0.0000000
24.8750000	0.0000000
24.9166667	0.0000000
24.9583333	0.0000000
25.0000000	0.0000000
25.0416667	0.0000000
25.0833333	0.0000000
25.1250000	0.0000000
25.1666667	0.0991300
25.2083333	2.8930500
25.2500000	0.9108700
25.2916667	0.0000000
25.3333333	0.0121800
25.3750000	0.0900000
25.4166667	0.0043500
25.4583333	0.0000000
25.5000000	0.0000000
25.5416667	0.0000000
25.5833333	0.0000000
25.6250000	0.0000000
25.6666667	0.0000000
25.7083333	0.0000000
25.7500000	0.0000000
25.7916667	0.0000000
25.8333333	0.0000000
25.8750000	0.0000000
25.9166667	0.0000000
25.9583333	0.0000000
26.0000000	0.0000000
26.0416667	0.0000000
26.0833333	0.0000000
26.1250000	0.0000000
26.1666667	0.0000000
26.2083333	0.0000000
26.2500000	0.0000000
26.2916667	0.0000000
26.3333333	0.0000000
26.3750000	0.0000000
26.4166667	0.0000000
26.4583333	0.0000000
26.5000000	0.0000000
26.5416667	0.0000000
26.5833333	0.0000000
26.6250000	0.0000000
26.6666667	0.0000000
26.7083333	0.0000000
26.7500000	0.0000000
26.7916667	0.0000000
26.8333333	0.0000000
26.8750000	0.0000000
26.9166667	0.0000000
26.9583333	0.0000000
27.0000000	0.0000000
27.0416667	0.0000000
27.0833333	0.0000000
27.1250000	0.0000000
27.1666667	0.0000000
27.2083333	0.0000000
27.2500000	0.0000000
27.2916667	0.0000000
27.3333333	0.0000000
27.3750000	0.0000000
27.4166667	0.0000000
27.4583333	0.0000000
27.5000000	0.0000000
27.5416667	0.0000000
27.5833333	0.0000000
27.6250000	0.0000000
27.6666667	0.0000000
27.7083333	0.0000000
27.7500000	0.0000000
27.7916667	0.0000000
27.8333333	0.0000000
27.8750000	0.0000000
27.9166667	0.0000000
27.9583333	0.0000000
28.0000000	0.0000000
28.0416667	0.0000000
28.0833333	0.0000000
28.1250000	0.0000000
28.1666667	0.0000000
28.2083333	0.0000000
28.2500000	0.0000000
28.2916667	0.0000000
28.3333333	0.0000000
28.3750000	0.0000000
28.4166667	0.0000000
28.4583333	0.0000000
28.5000000	0.0000000
28.5416667	0.0000000
28.5833333	0.0000000
28.6250000	0.0000000
28.6666667	0.0000000
28.7083333	0.0000000
28.7500000	0.0000000
28.7916667	0.0000000
28.8333333	0.0000000
28.8750000	0.0000000
28.9166667	0.0000000
28.9583333	0.0000000
29.0000000	0.0000000
29.0416667	0.0000000
29.0833333	0.0000000
29.1250000	0.0000000
29.1666667	0.0000000
29.2083333	0.0000000
29.2500000	0.0013000
29.2916667	0.0000000
29.3333333	0.0000000
29.3750000	0.0000000
29.4166667	0.0000000
29.4583333	0.0000000
29.5000000	0.0000000
29.5416667	0.0000000
29.5833333	0.0000000
29.6250000	0.0000000
29.6666667	0.0000000
29.7083333	0.0000000
29.7500000	0.0000000
29.7916667	0.0000000
29.8333333	0.0000000
29.8750000	0.0000000
29.9166667	0.0000000
29.9583333	0.0000000
30.0000000	0.0000000
30.0416667	0.0000000
30.0833333	0.0000000
30.1250000	0.0000000
30.1666667	0.0000000
30.2083333	0.0000000
30.2500000	0.0000000
30.2916667	0.0000000
30.3333333	0.0000000
30.3750000	0.0000000
30.4166667	0.0000000
30.4583333	0.0000000
30.5000000	0.0000000
30.5416667	0.0000000
30.5833333	0.0000000
30.6250000	0.0000000
30.6666667	0.0000000
30.7083333	0.0000000
30.7500000	0.0000000
30.7916667	0.0000000
30.8333333	0.0000000
30.8750000	0.0000000
30.9166667	0.0000000
30.9583333	0.5995800
31.0000000	2.5256500
31.0416667	1.2365300
31.0833333	0.0800000
31.1250000	0.0000000
31.1666667	0.0000000
31.2083333	0.0000000
31.2500000	0.0000000
31.2916667	0.0000000
31.3333333	0.0000000
31.3750000	0.0000000
31.4166667	0.0000000
31.4583333	0.0000000
31.5000000	0.0000000
31.5416667	0.0000000
31.5833333	0.0000000
31.6250000	0.0000000
31.6666667	0.0000000
31.7083333	0.0000000
31.7500000	0.0000000
31.7916667	0.0000000
31.8333333	0.0000000
31.8750000	0.0000000
31.9166667	0.0000000
31.9583333	0.0000000
32.0000000	0.0000000
32.0416667	0.0000000
32.0833333	0.0000000
32.1250000	0.0000000
32.1666667	0.0000000
32.2083333	0.0000000
32.2500000	0.0000000
32.2916667	0.0000000
32.3333333	0.0000000
32.3750000	0.0000000
32.4166667	0.0000000
32.4583333	0.0000000
32.5000000	0.0000000
32.5416667	0.0000000
32.5833333	0.0000000
32.6250000	0.0000000
32.6666667	0.0000000
32.7083333	0.0000000
32.7500000	0.0000000
32.7916667	0.0000000
32.8333333	0.0000000
32.8750000	0.0000000
32.9166667	0.0000000
32.9583333	0.0000000
33.0000000	0.0000000
33.0416667	0.0000000
33.0833333	0.0000000
33.1250000	0.0000000
33.1666667	0.0000000
33.2083333	0.0000000
33.2500000	0.0000000
33.2916667	0.0000000
33.3333333	0.0000000
33.3750000	0.0000000
33.4166667	0.0000000
33.4583333	0.0000000
33.5000000	0.0000000
33.5416667	0.0000000
33.5833333	0.0000000
33.6250000	0.0000000
33.6666667	0.0000000
33.7083333	0.0000000
33.7500000	0.0000000
33.7916667	0.9556700
33.8333333	2.3860900
33.8750000	2.5838900
33.9166667	0.6943500
33.9583333	0.1500000
34.0000000	0.0147800
34.0416667	0.0265300
34.0833333	0.0000000
34.1250000	0.0000000
34.1666667	0.0213000
34.2083333	0.0052200
34.2500000	0.0087000
34.2916667	0.0000000
34.3333333	0.0000000
34.3750000	0.0000000
34.4166667	0.0000000
34.4583333	0.0000000
34.5000000	0.0000000
34.5416667	0.0000000
34.5833333	0.0000000
34.6250000	0.0000000
34.6666667	0.0000000
34.7083333	0.0000000
34.7500000	0.0000000
34.7916667	0.0000000
34.8333333	0.0000000
34.8750000	0.0000000
34.9166667	0.0000000
34.9583333	0.0000000
35.0000000	0.0000000
35.0416667	0.0000000
35.0833333	0.0000000
35.1250000	0.0000000
35.1666667	0.0000000
35.2083333	0.0000000
35.2500000	0.0000000
35.2916667	0.0000000
35.3333333	0.0000000
35.3750000	0.0000000
35.4166667	0.0000000
35.4583333	0.0000000
35.5000000	0.0000000
35.5416667	0.0000000
35.5833333	0.0000000
35.6250000	0.0000000
35.6666667	0.0000000
35.7083333	0.0000000
35.7500000	0.0000000
35.7916667	0.0000000
35.8333333	0.0000000
35.8750000	0.0000000
35.9166667	0.0000000
35.9583333	0.0000000
36.0000000	0.0000000
36.0416667	0.0000000
36.0833333	0.0000000
36.1250000	0.0000000
36.1666667	0.0000000
36.2083333	0.0000000
36.2500000	0.0000000
36.2916667	0.0000000
36.3333333	0.0000000
36.3750000	0.0000000
36.4166667	0.0000000
36.4583333	0.0000000
36.5000000	0.0000000
36.5416667	0.0000000
36.5833333	0.0000000
36.6250000	0.0000000
36.6666667	0.0000000
36.7083333	0.0000000
36.7500000	0.0000000
36.7916667	0.0000000
36.8333333	0.3530400
36.8750000	1.0234900
36.9166667	1.6382600
36.9583333	2.5278200
37.0000000	1.3651900
37.0416667	2.7174000
37.0833333	6.3543400
37.1250000	4.3926100
37.1666667	2.3930600
37.2083333	0.7139200
37.2500000	0.1347900
37.2916667	0.2265200
37.3333333	0.2752000
37.3750000	0.0412900
37.4166667	0.0521700
37.4583333	0.0000000
37.5000000	0.0000000
37.5416667	0.0000000
37.5833333	0.0000000
37.6250000	0.0000000
37.6666667	0.0000000
37.7083333	0.0000000
37.7500000	0.0000000
37.7916667	0.0000000
37.8333333	0.0000000
37.8750000	0.0000000
37.9166667	0.0000000
37.9583333	0.0000000
38.0000000	0.0000000
38.0416667	0.0000000
38.0833333	0.0000000
38.1250000	0.0000000
38.1666667	0.0000000
38.2083333	0.0000000
38.2500000	0.0000000
38.2916667	0.0500100
38.3333333	1.3286900
38.3750000	1.1634700
38.4166667	2.3687000
38.4583333	0.7247800
38.5000000	1.1213200
38.5416667	0.7978400
38.5833333	1.0960900
38.6250000	0.0017400
38.6666667	0.0000000
38.7083333	0.0000000
38.7500000	0.1039100
38.7916667	2.9873900
38.8333333	2.3052200
38.8750000	2.7086700
38.9166667	1.4356600
38.9583333	0.9848000
39.0000000	0.8208800
39.0416667	0.6160900
39.0833333	0.8821800
39.1250000	1.5152300
39.1666667	0.1200000
39.2083333	0.0673900
39.2500000	0.6626100
39.2916667	0.7304400
39.3333333	0.0447800
39.3750000	0.0204400
39.4166667	0.0000000
39.4583333	0.0000000
39.5000000	0.0000000
39.5416667	0.0000000
39.5833333	0.0000000
39.6250000	0.0000000
39.6666667	0.0000000
39.7083333	0.0000000
39.7500000	0.0000000
39.7916667	0.0000000
39.8333333	0.0000000
39.8750000	0.0000000
39.9166667	0.0000000
39.9583333	0.0000000
40.0000000	0.0000000
40.0416667	0.0000000
40.0833333	0.0000000
40.1250000	0.0000000
40.1666667	0.0000000
40.2083333	0.0000000
40.2500000	0.0000000
40.2916667	0.0000000
40.3333333	0.0000000
40.3750000	0.0000000
40.4166667	0.0000000
40.4583333	0.0000000
40.5000000	0.0000000
40.5416667	0.0000000
40.5833333	0.0000000
40.6250000	0.0000000
40.6666667	0.0000000
40.7083333	0.2047900
40.7500000	0.2313000
40.7916667	0.2217500
40.8333333	0.1978200
40.8750000	0.1391400
40.9166667	0.1530400
40.9583333	0.1691300
41.0000000	1.1917400
41.0416667	0.4908800
41.0833333	0.0774000
41.1250000	0.4669500
41.1666667	0.9026000
41.2083333	1.6708600
41.2500000	1.0352100
41.2916667	0.0573900
41.3333333	0.0000000
41.3750000	0.0000000
41.4166667	0.0000000
41.4583333	0.0000000
41.5000000	0.0000000
41.5416667	0.0178200
41.5833333	0.0030400
41.6250000	0.0000000
41.6666667	0.3243400
41.7083333	0.0000000
41.7500000	0.0330500
41.7916667	2.3639100
41.8333333	0.1587000
41.8750000	0.0000000
41.9166667	0.0000000
41.9583333	0.0000000
42.0000000	0.0000000
42.0416667	0.0000000
42.0833333	0.0000000
42.1250000	0.0021700
42.1666667	0.0173900
42.2083333	0.0160900
42.2500000	0.0000000
42.2916667	0.0000000
42.3333333	0.0000000
42.3750000	0.0000000
42.4166667	0.0000000
42.4583333	0.0000000
42.5000000	0.0000000
42.5416667	0.0073900
42.5833333	0.0013000
42.6250000	0.0630400
42.6666667	0.0000000
42.7083333	0.0000000
42.7500000	0.0000000
42.7916667	0.0000000
42.8333333	0.0000000
42.8750000	0.0000000
42.9166667	0.0000000
42.9583333	0.0000000
43.0000000	0.0000000
43.0416667	0.0000000
43.0833333	0.0000000
43.1250000	0.0000000
43.1666667	0.0000000
43.2083333	0.0000000
43.2500000	0.0000000
43.2916667	0.0000000
43.3333333	0.0000000
43.3750000	0.0000000
43.4166667	0.0000000
43.4583333	0.0000000
43.5000000	0.0000000
43.5416667	0.0000000
43.5833333	0.0000000
43.6250000	0.0000000
43.6666667	0.0078300
43.7083333	0.2248000
43.7500000	0.2017500
43.7916667	0.0000000
43.8333333	0.0000000
43.8750000	0.7208700
43.9166667	0.2708600
43.9583333	0.0000000
44.0000000	0.0000000
44.0416667	0.0000000
44.0833333	0.0000000
44.1250000	0.0000000
44.1666667	0.0000000
44.2083333	0.0104300
44.2500000	0.0000000
44.2916667	0.0000000
44.3333333	0.0000000
44.3750000	0.0000000
44.4166667	0.0000000
44.4583333	0.6878300
44.5000000	0.2356500
44.5416667	0.4126100
44.5833333	1.3669700
44.6250000	0.3660900
44.6666667	1.5465300
44.7083333	0.0034700
44.7500000	0.0000000
44.7916667	0.0000000
44.8333333	0.0000000
44.8750000	0.0000000
44.9166667	0.0000000
44.9583333	0.0000000
45.0000000	0.0000000
45.0416667	0.0000000
45.0833333	0.0034800
45.1250000	0.6743400
45.1666667	0.2847900
45.2083333	1.7786900
45.2500000	0.8200000
45.2916667	0.5860800
45.3333333	0.0000000
45.3750000	0.0130400
45.4166667	0.0000000
45.4583333	0.0000000
45.5000000	0.0000000
45.5416667	0.0000000
45.5833333	0.0000000
45.6250000	0.0000000
45.6666667	0.0000000
45.7083333	0.0000000
45.7500000	0.0000000
45.7916667	0.0000000
45.8333333	0.0000000
45.8750000	0.0030400
45.9166667	0.0000000
45.9583333	0.0000000
46.0000000	0.0000000
46.0416667	0.0000000
46.0833333	0.0000000
46.1250000	0.0000000
46.1666667	0.0000000
46.2083333	0.0000000
46.2500000	0.0000000
46.2916667	0.0352200
46.3333333	0.0434700
46.3750000	0.0000000
46.4166667	0.0773800
46.4583333	0.2713000
46.5000000	0.6195500
46.5416667	0.0008700
46.5833333	0.0000000
46.6250000	0.0000000
46.6666667	0.0000000
46.7083333	0.0000000
46.7500000	0.0000000
46.7916667	0.0000000
46.8333333	0.0000000
46.8750000	0.0000000
46.9166667	0.0000000
46.9583333	0.0000000
47.0000000	0.0000000
47.0416667	0.0000000
47.0833333	0.0000000
47.1250000	0.0000000
47.1666667	0.0000000
47.2083333	0.0000000
47.2500000	0.0000000
47.2916667	0.0000000
47.3333333	0.0000000
47.3750000	0.0000000
47.4166667	0.0000000
47.4583333	0.0000000
47.5000000	0.0000000
47.5416667	0.0000000
47.5833333	0.0000000
47.6250000	0.0182600
47.6666667	0.0052100
47.7083333	0.0000000
47.7500000	0.0000000
47.7916667	0.0000000
47.8333333	0.0000000
47.8750000	0.0000000
47.9166667	0.0000000
47.9583333	0.0000000
48.0000000	0.0000000
48.0416667	0.0000000
48.0833333	0.0000000
48.1250000	0.3043400
48.1666667	0.1325900
48.2083333	0.1674100
48.2500000	0.4417400
48.2916667	0.6361000
48.3333333	1.0895800
